"categoryname","domain","item","nexturl","page","pageType","url"
"Mobile Phone Cases","www.alza.co.uk",24,,3266,"search","https://www.alza.co.uk/mobile-phone-cases/18848328.htm"
"Hardware","www.alza.co.uk",24,,3070,"search","https://www.alza.co.uk/hardware/18852654.htm"
"Laptop Accessories","www.alza.co.uk",24,,2743,"search","https://www.alza.co.uk/laptop-accessories/18843112.htm"
"Laptop Accessories","www.alza.co.uk",24,,2743,"search","https://www.alza.co.uk/prislusenstvi-k-notebookum/18843112.htm"
"Cables & Connectors","www.alza.co.uk",24,,1992,"search","https://www.alza.co.uk/cables-connectors/18842906.htm"
"Games","www.alza.co.uk",24,,1555,"search","https://www.alza.co.uk/games/18855143.htm"
"Television Accessories","www.alza.co.uk",24,,1324,"search","https://www.alza.co.uk/television-accessories/18849625.htm"
"Digital Camera Accessories","www.alza.co.uk",24,,1253,"search","https://www.alza.co.uk/digital-photo/accessories/18843302.htm"
"iPhone Accessories","www.alza.co.uk",24,,1176,"search","https://www.alza.co.uk/iphone-accessories/18851639.htm"
"Tempered Glass for Mobile Phones","www.alza.co.uk",24,,1128,"search","https://www.alza.co.uk/tempered-glass-for-mobile-phones/18855215.htm"
"Xbox ONE","www.alza.co.uk",24,,966,"search","https://www.alza.co.uk/xbox-one/18854533.htm"
"Hard Drives","www.alza.co.uk",24,,854,"search","https://www.alza.co.uk/harddrives/18842851.htm"
"iPhone Cases","www.alza.co.uk",24,,814,"search","https://www.alza.co.uk/cases-for-iphone/18851729.htm"
"Xbox ONE Games","www.alza.co.uk",24,,749,"search","https://www.alza.co.uk/18855145.htm"
"Xbox ONE Games","www.alza.co.uk",24,,749,"search","https://www.alza.co.uk/xbox-one-games/18854535.htm"
"Gaming Accessories","www.alza.co.uk",24,,704,"search","https://www.alza.co.uk/gaming-accessories/18853697.htm"
"Data Cables","www.alza.co.uk",24,,662,"search","https://www.alza.co.uk/data-cables/18861933.htm"
"Xbox Live GOLD","www.alza.co.uk",24,,643,"search","https://www.alza.co.uk/xbox-live/18850330.htm"
"Mobile Phones","www.alza.co.uk",24,,601,"search","https://www.alza.co.uk/mobile-phones/caterpillar/18843445-v3804.htm"
"Computer Monitors","www.alza.co.uk",24,,576,"search","https://www.alza.co.uk/lcd-monitory/18842948.htm"
"Computer Monitors","www.alza.co.uk",24,,576,"search","https://www.alza.co.uk/lcd-monitors/18842948.htm"
"Headphones with Microphone","www.alza.co.uk",24,,553,"search","https://www.alza.co.uk/headphones-with-microphone/18859709.htm"
"Canon","www.alza.co.uk",24,,551,"search","https://www.alza.co.uk/canon/v1295.htm"
"Speakers","www.alza.co.uk",24,,548,"search","https://www.alza.co.uk/speakers/18843496.htm"
"Bags, Backpacks & Cases","www.alza.co.uk",24,,545,"search","https://www.alza.co.uk/brasny-batohy-a-pouzdra/18857401.htm"
"External drives","www.alza.co.uk",24,,538,"search","https://www.alza.co.uk/external-harddrives/18843102.htm"
"SONY","www.alza.co.uk",24,,517,"search","https://www.alza.co.uk/sony/v1310.htm"
"Cases and Power Supplies","www.alza.co.uk",24,,514,"search","https://www.alza.co.uk/cases-power-supplies/18850751.htm"
"RAM Memory","www.alza.co.uk",24,,504,"search","https://www.alza.co.uk/memory/18842853.htm"
"Over-ear Headphones","www.alza.co.uk",24,,491,"search","https://www.alza.co.uk/over-ear-headphones/18859902.htm"
"USB-C Accessories","www.alza.co.uk",24,,483,"search","https://www.alza.co.uk/usb-c-doplnky/18861731.htm"
"Apple","www.alza.co.uk",24,,465,"search","https://www.alza.co.uk/apple/v1627.htm"
"Gaming Collectibles","www.alza.co.uk",24,,456,"search","https://www.alza.co.uk/gaming-collectibles/18862622.htm"
"SIM-Free Phablets","www.alza.co.uk",24,,455,"search","https://www.alza.co.uk/phablets/18855368.htm"
"Android SIM-Free Smartphones","www.alza.co.uk",24,,454,"search","https://www.alza.co.uk/mobile-phones-android/18851259.htm"
"Notebooks By Operating system","www.alza.co.uk",24,,452,"search","https://www.alza.co.uk/notebooks-by-operating-system/18865412.htm"
"Dual-SIM Mobile Phones (SIM-Free)","www.alza.co.uk",24,,424,"search","https://www.alza.co.uk/dual-sim/18850171.htm"
"PC Gaming","www.alza.co.uk",24,,399,"search","https://www.alza.co.uk/pc-gaming/18857155.htm"
"Game series","www.alza.co.uk",24,,381,"search","https://www.alza.co.uk/game-series/18863880.htm"
"Phones with Fingerprint Scanner","www.alza.co.uk",24,,375,"search","https://www.alza.co.uk/phones-with-fingerprint-scanner/18865090.htm"
"Wireless Speakers","www.alza.co.uk",24,,367,"search","https://www.alza.co.uk/wireless-speakers/18856083.htm"
"PC Memory","www.alza.co.uk",24,,360,"search","https://www.alza.co.uk/computer-memory/18852020.htm"
"Screen Protectors for Mobile Phones","www.alza.co.uk",24,,359,"search","https://www.alza.co.uk/screen-protectors/protective-film/18852107.htm"
"Computer Headphones","www.alza.co.uk",24,,357,"search","https://www.alza.co.uk/computer-headphones/18859895.htm"
"Adapters","www.alza.co.uk",24,,351,"search","https://www.alza.co.uk/adapters/18861386.htm"
"Wireless Headphones","www.alza.co.uk",24,,333,"search","http://www.alza.co.uk/wireless-headphones/18859897.htm"
"Wireless Headphones","www.alza.co.uk",24,,333,"search","https://www.alza.co.uk/wireless-headphones/18859897.htm"
"Players","www.alza.co.uk",24,,330,"search","https://www.alza.co.uk/players/18859887.htm"
"Infinity Display Phones","www.alza.co.uk",24,,322,"search","https://www.alza.co.uk/infinity-display-phones/18864024.htm"
"Notebook Batteries","www.alza.co.uk",24,,321,"search","https://www.alza.co.uk/baterie-pro-notebooky/18844765.htm"
"Mobile Phone & Tablet Chargers","www.alza.co.uk",24,,318,"search","https://www.alza.co.uk/batteries-recharging/chargers/for-cellular-phones/18849919.htm"
"Panasonic","www.alza.co.uk",24,,311,"search","https://www.alza.co.uk/panasonic/v1356.htm"
"Software","www.alza.co.uk",24,,309,"search","https://www.alza.co.uk/software/18860415.htm"
"Internal Hard Drives","www.alza.co.uk",24,,307,"search","https://www.alza.co.uk/internal-hard-drives/18851840.htm"
