"Category URL"",""Category Name"",""First Page"",""Last Page"",""Source Domain"",""Product Count"
"http://www.argos.co.uk/browse/home-and-garden/home-furnishings/rugs-and-mats/c:29529/"",""Home and garden > Home furnishings > Rugs and mats"",""1"",""37"",""argos.co.uk"",""1082"
"http://www.argos.co.uk/browse/toys/action-figures-and-playsets/c:30373/"",""Toys > Action figures and playsets"",""1"",""35"",""argos.co.uk"",""1032"
"http://www.argos.co.uk/browse/home-and-garden/bedding/duvet-cover-sets/c:29474/"",""Home and garden > Bedding > Duvet cover sets"",""1"",""30"",""argos.co.uk"",""878"
"http://www.argos.co.uk/browse/technology/ipod-mp3-and-headphones/headphones-and-earphones/c:30128/"",""Technology > iPod, MP3 and headphones > Headphones and earphones"",""1"",""28"",""argos.co.uk"",""817"
"http://www.argos.co.uk/browse/jewellery-and-watches/ladies-jewellery/ladies-rings/engagement-rings/c:29322/"",""Jewellery and watches > Ladies' jewellery > Ladies' rings > Engagement rings"",""1"",""27"",""argos.co.uk"",""787"
"http://www.argos.co.uk/browse/jewellery-and-watches/ladies-jewellery/ladies-earrings/c:29315/"",""Jewellery and watches > Ladies' jewellery > Ladies' earrings"",""1"",""27"",""argos.co.uk"",""793"
"http://www.argos.co.uk/browse/home-and-garden/home-furnishings/blinds-curtains-and-accessories/curtains/c:29541/"",""Home and garden > Home furnishings > Blinds, curtains and accessories > Curtains"",""1"",""24"",""argos.co.uk"",""698"
"http://www.argos.co.uk/browse/jewellery-and-watches/ladies-jewellery/ladies-necklaces/c:29316/"",""Jewellery and watches > Ladies' jewellery > Ladies' necklaces"",""1"",""24"",""argos.co.uk"",""707"
"http://www.argos.co.uk/browse/home-and-garden/living-room-furniture/sofas/c:29643/"",""Home and garden > Living room furniture > Sofas"",""1"",""20"",""argos.co.uk"",""595"
"http://www.argos.co.uk/browse/toys/baby-and-pre-school-toys/activity-toys/c:30455/"",""Toys > Baby and pre-school toys > Activity toys"",""1"",""20"",""argos.co.uk"",""597"
"http://www.argos.co.uk/browse/baby-and-nursery/baby-toys/baby-activity-toys/c:29101/"",""Baby and nursery > Baby toys > Baby activity toys"",""1"",""20"",""argos.co.uk"",""577"
"http://www.argos.co.uk/browse/toys/board-games-jigsaws-and-puzzles/board-games/c:30423/"",""Toys > Board games, jigsaws and puzzles > Board games"",""1"",""19"",""argos.co.uk"",""555"
"http://www.argos.co.uk/browse/toys/teddy-bears-and-soft-toys/c:30308/"",""Toys > Teddy bears and soft toys"",""1"",""18"",""argos.co.uk"",""528"
"http://www.argos.co.uk/browse/toys/role-play/childrens-fancy-dress/childrens-fancy-dress-costumes/c:30414/"",""Toys > Role play > Children's fancy dress > Children's fancy dress costumes"",""1"",""16"",""argos.co.uk"",""453"
"http://www.argos.co.uk/browse/home-and-garden/home-furnishings/wall-art-pictures-and-photo-frames/c:29537/"",""Home and garden > Home furnishings > Wall art, pictures and photo frames"",""1"",""16"",""argos.co.uk"",""463"
"http://www.argos.co.uk/browse/technology/mobile-phones-and-accessories/mobile-phone-accessories-and-attachments/mobile-phone-cases/c:30151/"",""Technology > Mobile phones and accessories > Mobile phone accessories and attachments > Mobile phone cases"",""1"",""16"",""argos.co.uk"",""472"
"http://www.argos.co.uk/browse/jewellery-and-watches/watches/mens-watches/c:29307/"",""Jewellery and watches > Watches > Men's watches"",""1"",""16"",""argos.co.uk"",""461"
"http://www.argos.co.uk/browse/clothing/fancy-dress/childrens-fancy-dress/c:29154/"",""Clothing > Fancy dress > Children's fancy dress"",""1"",""16"",""argos.co.uk"",""470"
"http://www.argos.co.uk/browse/home-and-garden/bedroom-furniture/beds/bed-frames/c:29867/"",""Home and garden > Bedroom furniture > Beds > Bed frames"",""1"",""15"",""argos.co.uk"",""429"
"http://www.argos.co.uk/browse/home-and-garden/bedroom-furniture/wardrobes/c:29601/"",""Home and garden > Bedroom furniture > Wardrobes"",""1"",""14"",""argos.co.uk"",""393"
"http://www.argos.co.uk/browse/home-and-garden/bedroom-furniture/mattresses/c:29870/"",""Home and garden > Bedroom furniture > Mattresses"",""1"",""14"",""argos.co.uk"",""396"
"http://www.argos.co.uk/search/shop-for-2-for-15-toys-at-argos/"","",""1"",""14"",""argos.co.uk"",""395"
"http://www.argos.co.uk/browse/home-and-garden/home-improvements/wallpaper-painting-and-decorating/wallpaper/c:29469/"",""Home and garden > Home improvements > Wallpaper, painting and decorating > Wallpaper"",""1"",""14"",""argos.co.uk"",""411"
"http://www.argos.co.uk/browse/home-and-garden/home-furnishings/blinds-curtains-and-accessories/blinds/c:29540/"",""Home and garden > Home furnishings > Blinds, curtains and accessories > Blinds"",""1"",""14"",""argos.co.uk"",""409"
"http://www.argos.co.uk/browse/toys/lego-and-construction-toys/lego/c:30379/"",""Toys > LEGO and construction toys > LEGO"",""1"",""14"",""argos.co.uk"",""416"
"http://www.argos.co.uk/browse/toys/baby-and-pre-school-toys/pre-school-outdoor-toys/pre-school-outdoor-toys-and-games/c:30461/"",""Toys > Baby and pre-school toys > Pre-school outdoor toys > Pre-school outdoor toys and games"",""1"",""13"",""argos.co.uk"",""366"
"http://www.argos.co.uk/browse/toys/toy-cars-trains-boats-and-planes/toy-cars-vehicles-and-sets/c:30428/"",""Toys > Toy cars, trains, boats and planes > Toy cars, vehicles and sets"",""1"",""12"",""argos.co.uk"",""355"
"http://www.argos.co.uk/browse/jewellery-and-watches/watches/ladies-watches/c:29306/"",""Jewellery and watches > Watches > Ladies' watches"",""1"",""12"",""argos.co.uk"",""342"
"http://www.argos.co.uk/browse/home-and-garden/home-furnishings/wall-art-pictures-and-photo-frames/pictures-and-wall-art/c:29558/"",""Home and garden > Home furnishings > Wall art, pictures and photo frames > Pictures and wall art"",""1"",""12"",""argos.co.uk"",""336"
"http://www.argos.co.uk/browse/home-and-garden/lighting/ceiling-and-wall-lights/c:29802/"",""Home and garden > Lighting > Ceiling and wall lights"",""1"",""12"",""argos.co.uk"",""340"
"http://www.argos.co.uk/browse/technology/video-games-and-consoles/ps4/ps4-games/c:30037/"",""Technology > Video games and consoles > PS4 > PS4 games"",""1"",""11"",""argos.co.uk"",""312"
"http://www.argos.co.uk/browse/toys/creative-and-science-toys/toy-craft-kits/c:42643/"",""Toys > Creative and science toys > Toy craft kits"",""1"",""11"",""argos.co.uk"",""309"
"http://www.argos.co.uk/browse/home-and-garden/childrens-furniture/childrens-beds/c:29689/"",""Home and garden > Children's furniture > Children's beds"",""1"",""11"",""argos.co.uk"",""325"
"http://www.argos.co.uk/browse/home-and-garden/lighting/table-lamps/c:29803/"",""Home and garden > Lighting > Table lamps"",""1"",""11"",""argos.co.uk"",""327"
"http://www.argos.co.uk/browse/toys/creative-and-science-toys/discovery-and-science/c:30377/"",""Toys > Creative and science toys > Discovery and science"",""1"",""11"",""argos.co.uk"",""317"
"http://www.argos.co.uk/browse/baby-and-nursery/travel/car-seats-booster-seats-and-travel-accessories/car-seats/c:29053/"",""Baby and nursery > Travel > Car seats, booster seats and travel accessories > Car seats"",""1"",""11"",""argos.co.uk"",""321"
"http://www.argos.co.uk/browse/home-and-garden/conservatories-sheds-and-greenhouses/sheds-and-bases/sheds/c:29492/"",""Home and garden > Conservatories, sheds and greenhouses > Sheds and bases > Sheds"",""1"",""11"",""argos.co.uk"",""319"
"http://www.argos.co.uk/browse/toys/lego-and-construction-toys/construction-toys/c:30380/"",""Toys > LEGO and construction toys > Construction toys"",""1"",""11"",""argos.co.uk"",""314"
"http://www.argos.co.uk/browse/home-and-garden/bedroom-furniture/bedroom-suites-and-packages/c:29599/"",""Home and garden > Bedroom furniture > Bedroom suites and packages"",""1"",""11"",""argos.co.uk"",""329"
"http://www.argos.co.uk/browse/home-and-garden/garden-decoration-and-landscaping/garden-fencing-and-trellis/c:29408/"",""Home and garden > Garden decoration and landscaping > Garden fencing and trellis"",""1"",""11"",""argos.co.uk"",""321"
"http://www.argos.co.uk/browse/home-and-garden/bedroom-furniture/childrens-bedroom-furniture/childrens-beds/c:29873/"",""Home and garden > Bedroom furniture > Children's bedroom furniture > Children's beds"",""1"",""11"",""argos.co.uk"",""328"
"http://www.argos.co.uk/browse/home-and-garden/bedroom-furniture/beds/childrens-beds/c:29869/"",""Home and garden > Bedroom furniture > Beds > Children's beds"",""1"",""11"",""argos.co.uk"",""327"
"http://www.argos.co.uk/browse/toys/dolls-and-playsets/dolls/c:30381/"",""Toys > Dolls and playsets > Dolls"",""1"",""10"",""argos.co.uk"",""273"
"http://www.argos.co.uk/browse/home-and-garden/home-improvements/wallpaper-painting-and-decorating/wallpaper-samples-and-borders/c:29847/"",""Home and garden > Home improvements > Wallpaper, painting and decorating > Wallpaper samples and borders"",""1"",""10"",""argos.co.uk"",""298"
"http://www.argos.co.uk/browse/home-and-garden/living-room-furniture/armchairs-and-chairs/c:29641/"",""Home and garden > Living room furniture > Armchairs and chairs"",""1"",""10"",""argos.co.uk"",""300"
"http://www.argos.co.uk/browse/home-and-garden/bedroom-furniture/chest-of-drawers/c:29598/"",""Home and garden > Bedroom furniture > Chest of drawers"",""1"",""10"",""argos.co.uk"",""292"
"http://www.argos.co.uk/browse/sports-and-leisure/bikes-and-accessories/childrens-bikes/c:30485/"",""Sports and leisure > Bikes and accessories > Children's bikes"",""1"",""10"",""argos.co.uk"",""288"
"http://www.argos.co.uk/browse/baby-and-nursery/travel/pushchairs/c:29042/"",""Baby and nursery > Travel > Pushchairs"",""1"",""10"",""argos.co.uk"",""289"
"http://www.argos.co.uk/browse/toys/outdoor-toys/childrens-bikes/c:30330/"",""Toys > Outdoor toys > Children's bikes"",""1"",""10"",""argos.co.uk"",""290"
"http://www.argos.co.uk/browse/sports-and-leisure/bikes-and-accessories/mens-and-ladies-bikes/c:30482/"",""Sports and leisure > Bikes and accessories > Men's and ladies' bikes"",""1"",""10"",""argos.co.uk"",""294"
"http://www.argos.co.uk/browse/home-and-garden/cooking-dining-and-kitchen-equipment/kitchenware/kitchen-bins/c:29712/"",""Home and garden > Cooking, dining and kitchen equipment > Kitchenware > Kitchen bins"",""1"",""10"",""argos.co.uk"",""288"
"http://www.argos.co.uk/browse/toys/outdoor-toys/wheeled-toys/scooters/c:30334/"",""Toys > Outdoor toys > Wheeled toys > Scooters"",""1"",""10"",""argos.co.uk"",""295"
"http://www.argos.co.uk/browse/gifts/special-occasions-and-parties/party-decorations/c:29186/"",""Gifts > Special occasions and parties > Party decorations"",""1"",""10"",""argos.co.uk"",""272"
"http://www.argos.co.uk/browse/sports-and-leisure/bikes-and-accessories/bike-accessories/c:30484/"",""Sports and leisure > Bikes and accessories > Bike accessories"",""1"",""9"",""argos.co.uk"",""255"
"http://www.argos.co.uk/browse/technology/home-audio/docking-stations-and-speakers/c:30133/"",""Technology > Home audio > Docking stations and speakers"",""1"",""9"",""argos.co.uk"",""266"
"http://www.argos.co.uk/browse/technology/home-office/printer-ink-paper-and-accessories/printer-ink/c:30098/"",""Technology > Home office > Printer ink, paper and accessories > Printer ink"",""1"",""9"",""argos.co.uk"",""241"
