"Category URL","Category Name","First Page","Last Page","Source Domain","Product Count"
"https://www.beautyflash.co.uk/cat-hair-care/styling-products.html","Hair Care > Styling Products","1","25","beautyflash.co.uk","400"
"https://www.beautyflash.co.uk/cat-hair-care/shampoos.html","Hair Care > Shampoos","1","17","beautyflash.co.uk","272"
"https://www.beautyflash.co.uk/cat-hair-care/conditioners.html","Hair Care > Conditioners","1","15","beautyflash.co.uk","240"
"https://www.beautyflash.co.uk/cat-face-and-body/face-moisturisers.html","Face And Body > Face Moisturisers","1","12","beautyflash.co.uk","192"
"https://www.beautyflash.co.uk/cat-face-and-body/cleansers.html","Face And Body > Cleansers","1","7","beautyflash.co.uk","112"
"https://www.beautyflash.co.uk/cat-face-and-body/serums-and-boosters.html","Face And Body > Serums And Boosters","1","6","beautyflash.co.uk","96"
"https://www.beautyflash.co.uk/cat-hair-care/masks.html","Hair Care > Masks","1","6","beautyflash.co.uk","96"
"https://www.beautyflash.co.uk/cat-make-up/face.html","Make Up > Face","1","6","beautyflash.co.uk","96"
"https://www.beautyflash.co.uk/cat-face-and-body/bath-and-shower.html","Face And Body > Bath And Shower","1","5","beautyflash.co.uk","80"
"https://www.beautyflash.co.uk/cat-face-and-body/eyes-and-lips.html","Face And Body > Eyes And Lips","1","5","beautyflash.co.uk","80"
"https://www.beautyflash.co.uk/cat-hair-care/hair-problems.html","Hair Care > Hair Problems","1","5","beautyflash.co.uk","80"
"https://www.beautyflash.co.uk/cat-face-and-body/body-moisturisers.html","Face And Body > Body Moisturisers","1","4","beautyflash.co.uk","64"
"https://www.beautyflash.co.uk/cat-face-and-body/self-tan.html","Face And Body > Self Tan","1","4","beautyflash.co.uk","64"
"https://www.beautyflash.co.uk/cat-face-and-body/specialities.html","Face And Body > Specialities","1","4","beautyflash.co.uk","64"
"https://www.beautyflash.co.uk/cat-nail-care/nail-colours.html","Nail Care > Nail Colours","1","4","beautyflash.co.uk","64"
"https://www.beautyflash.co.uk/dermalogica/moisturisers-and-boosters.html","Dermalogica > Moisturisers And Boosters","1","4","beautyflash.co.uk","64"
"https://www.beautyflash.co.uk/cat-face-and-body/face-exfoliants.html","Face And Body > Face Exfoliants","1","3","beautyflash.co.uk","48"
"https://www.beautyflash.co.uk/cat-face-and-body/face-masques.html","Face And Body > Face Masques","1","3","beautyflash.co.uk","48"
"https://www.beautyflash.co.uk/cat-face-and-body/hands-feet-and-legs.html","Face And Body > Hands Feet And Legs","1","3","beautyflash.co.uk","48"
"https://www.beautyflash.co.uk/cat-hair-care/hair-kits-and-gifts.html","Hair Care > Hair Kits And Gifts","1","3","beautyflash.co.uk","48"
"https://www.beautyflash.co.uk/cat-make-up/eyes-and-lips.html","Make Up > Eyes And Lips","1","3","beautyflash.co.uk","48"
"https://www.beautyflash.co.uk/cat-self-tan/body-self-tan.html","Self Tan > Body Self Tan","1","3","beautyflash.co.uk","48"
"https://www.beautyflash.co.uk/cat-men/hair-care.html","Men > Hair Care","1","3","beautyflash.co.uk","48"
"https://www.beautyflash.co.uk/dermalogica/cleansers-and-toners.html","Dermalogica > Cleansers And Toners","1","3","beautyflash.co.uk","48"
"https://www.beautyflash.co.uk/dermalogica/special-offers.html","Dermalogica > Special Offers","1","2","beautyflash.co.uk","32"
"https://www.beautyflash.co.uk/cat-face-and-body/body-exfoliants.html","Face And Body > Body Exfoliants","1","2","beautyflash.co.uk","32"
