"Category URL","Category Name","First Page","Last Page","Source Domain","Product Count"
"https://www.christianbook.com/Christian/Books/easy_find?event=HPT&N=5401+1119289&Ne=1000000&Nso=1&Nu=product.endeca_rollup&category=Download&Ns=product.number_sold","Download","1","12026","christianbook.com (search page)","300649"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&category=Music&N=1034323+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&format=1014677&Ns=product.number_sold","Music > Accompaniment Tracks","1","1581","christianbook.com (search page)","39503"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=1124208+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&category=Accompaniment%20Tracks&Ns=product.number_sold","Music > Accompaniment Tracks > Single Tracks","1","1490","christianbook.com (search page)","37245"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=1124854+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Music > MP3 Music Downloads > Accompaniment Tracks","1","1462","christianbook.com (search page)","36541"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&category=Homeschool&N=2451807+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&format=1014667&Ns=product.number_sold","Homeschool > Subjects","1","1327","christianbook.com (search page)","33160"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&category=Christian%2520Living&N=1031306+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&format=1014644&Ns=product.number_sold","Books, eBooks & Audio > Christian Living > Spirituality","1","1189","christianbook.com (search page)","29706"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=1137693+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Kids & Toys > Children's Books","1","1152","christianbook.com (search page)","28783"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&category=Books&N=3445677+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&format=1014644&Ns=product.number_sold","Books, eBooks & Audio > Non-Fiction","1","846","christianbook.com (search page)","21142"
"https://www.christianbook.com/Christian/Books/easy_find?event=HPT&N=5401+1139146&Ne=1000000&Nso=1&Nu=product.endeca_rollup&category=Last%2520Chance%2520Bargains&Ns=product.number_sold","Last Chance Bargains","1","778","christianbook.com (search page)","19431"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&category=Music&N=1110746+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&format=1014677&Ns=product.number_sold","Music > Children","1","749","christianbook.com (search page)","18714"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=1110571+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Kids & Toys > Music","1","745","christianbook.com (search page)","18609"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=1125045+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Music > MP3 Music Downloads > Children","1","719","christianbook.com (search page)","17958"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=3053907+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Books, eBooks & Audio > eBooks > Christian Living","1","706","christianbook.com (search page)","17636"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=1125061+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Music > MP3 Music Downloads > Christmas","1","516","christianbook.com (search page)","12886"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&category=Homeschool&N=2648637+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&format=1014667&Ns=product.number_sold","Homeschool > Type","1","480","christianbook.com (search page)","11985"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=3206187+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Books, eBooks & Audio > eBooks > Fiction","1","442","christianbook.com (search page)","11033"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&category=Homeschool&N=2633787+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&format=1014667&Ns=product.number_sold","Homeschool > Supplemental","1","436","christianbook.com (search page)","10893"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=1125062+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Music > MP3 Music Downloads > Full Albums","1","422","christianbook.com (search page)","10543"
"https://www.christianbook.com/Christian/Books/easy_find?event=HPT&N=5401+1112765&Ne=1000000&Nso=1&Nu=product.endeca_rollup&category=Slightly%2520Imperfect&Ns=product.number_sold","Slightly Imperfect","1","411","christianbook.com (search page)","10260"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=4254057+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Books, eBooks & Audio > Children's Books > Children's Fiction","1","402","christianbook.com (search page)","10030"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&category=Christian%2520Living&N=1031297+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&format=1014644&Ns=product.number_sold","Books, eBooks & Audio > Christian Living > Discipleship","1","401","christianbook.com (search page)","10011"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&category=Books&N=3506697+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&format=1014644&Ns=product.number_sold","Books, eBooks & Audio > Church & Pastoral","1","377","christianbook.com (search page)","9410"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=3362247+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Books, eBooks & Audio > Academic > Missions Evangelism & Apologetics","1","375","christianbook.com (search page)","9364"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=3243177+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Books, eBooks & Audio > eBooks > Personal Growth","1","372","christianbook.com (search page)","9290"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=1123332+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&category=Bible%20Studies%20%26%20Curriculum&Ns=product.number_sold","Bible Studies & Curriculum > Study Guides","1","343","christianbook.com (search page)","8562"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=2935917+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Books, eBooks & Audio > Audiobooks > Download","1","328","christianbook.com (search page)","8191"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=1006462+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&category=Spanish&Ns=product.number_sold","Spanish > Books, eBooks & Audio","1","310","christianbook.com (search page)","7750"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&category=Books&N=1109390+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&format=1014644&Ns=product.number_sold","Books, eBooks & Audio > Other Languages","1","295","christianbook.com (search page)","7360"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=3063897+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Books, eBooks & Audio > eBooks > Church & Pastoral","1","288","christianbook.com (search page)","7192"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&category=Gifts&N=1030109+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&format=1014723&Ns=product.number_sold","Gift & Home > Home Accents","1","285","christianbook.com (search page)","7115"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=3042837+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Books, eBooks & Audio > eBooks > Children","1","268","christianbook.com (search page)","6692"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=1034320+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Books, eBooks & Audio > Personal Growth > Inspirational > Inspiring Stories","1","261","christianbook.com (search page)","6522"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=3237777+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Books, eBooks & Audio > eBooks > Non-Fiction","1","254","christianbook.com (search page)","6339"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=4296447+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Books, eBooks & Audio > Children's Books > Picture Books","1","249","christianbook.com (search page)","6218"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=1119570+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&category=Bible%20Studies%20%26%20Curriculum&Ns=product.number_sold","Bible Studies & Curriculum > Download","1","243","christianbook.com (search page)","6054"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=3431367+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Books, eBooks & Audio > Academic > Theology > Theological Movements & Traditions","1","225","christianbook.com (search page)","5620"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=3399237+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Books, eBooks & Audio > Academic > Theology > Doctrinal Theology","1","213","christianbook.com (search page)","5308"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=3508587+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Church & Supplies > Church Leadership","1","206","christianbook.com (search page)","5145"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&category=Christian%2520Living&N=1031337+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&format=1014644&Ns=product.number_sold","Books, eBooks & Audio > Christian Living > Charismatic Interest","1","202","christianbook.com (search page)","5044"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&category=Books&N=1119007+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&format=1014644&Ns=product.number_sold","Books, eBooks & Audio > Slightly Imperfect","1","199","christianbook.com (search page)","4955"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=1142766+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&category=Bible%20Studies%20%26%20Curriculum&Ns=product.number_sold","Bible Studies & Curriculum > DVD Studies","1","181","christianbook.com (search page)","4520"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=3563667+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Church & Supplies > Music & Media Ministry","1","170","christianbook.com (search page)","4240"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&category=Personal%2520Development&N=1031026+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&format=1014644&Ns=product.number_sold","Books, eBooks & Audio > Personal Growth > Counseling / Psychology","1","169","christianbook.com (search page)","4214"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=3295557+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Books, eBooks & Audio > Academic > Biblical Studies > New Testament Studies","1","163","christianbook.com (search page)","4073"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&category=Personal%2520Development&N=1031068+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&format=1014644&Ns=product.number_sold","Books, eBooks & Audio > Personal Growth > Women's Issues","1","162","christianbook.com (search page)","4049"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=3218877+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Books, eBooks & Audio > eBooks > Homeschool","1","160","christianbook.com (search page)","4000"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=3187287+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Books, eBooks & Audio > eBooks > Family","1","159","christianbook.com (search page)","3958"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=3261807+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Books, eBooks & Audio > eBooks > Theology","1","157","christianbook.com (search page)","3913"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=1110178+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Kids & Toys > Toys","1","153","christianbook.com (search page)","3812"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=1110500+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Kids & Toys > Crafts & Art Supplies","1","147","christianbook.com (search page)","3662"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=3020157+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Books, eBooks & Audio > eBooks > Biography","1","145","christianbook.com (search page)","3624"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=1005138+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&category=Spanish&Ns=product.number_sold","Spanish > Music","1","143","christianbook.com (search page)","3561"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=3182697+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Books, eBooks & Audio > eBooks > Devotionals","1","140","christianbook.com (search page)","3489"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=4250007+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Books, eBooks & Audio > Children's Books > Character & Social Skills","1","140","christianbook.com (search page)","3495"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&category=Music&N=1002956+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&format=1014677&Ns=product.number_sold","Music > Homeschool","1","140","christianbook.com (search page)","3481"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=1143085+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Books, eBooks & Audio > Fiction > Literature","1","139","christianbook.com (search page)","3454"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=1034284+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Books, eBooks & Audio > Family > Marriage & Divorce","1","134","christianbook.com (search page)","3343"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=2588967+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Homeschool > Subjects > History > History Subjects","1","133","christianbook.com (search page)","3306"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=1143066+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Books, eBooks & Audio > Fiction > Romance > Historical Romance","1","132","christianbook.com (search page)","3289"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=2978037+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Books, eBooks & Audio > eBooks > Bible Studies & Curriculum","1","132","christianbook.com (search page)","3294"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=3341997+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Books, eBooks & Audio > Academic > Commentaries > New Testament","1","130","christianbook.com (search page)","3242"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=1139638+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Books, eBooks & Audio > Christian Living > Prayer > General","1","122","christianbook.com (search page)","3039"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=1143047+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Books, eBooks & Audio > Fiction > Classic Fiction","1","120","christianbook.com (search page)","2995"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&category=Bibles&N=1119004+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&format=1014722&Ns=product.number_sold","Bibles > Slightly Imperfect","1","120","christianbook.com (search page)","2996"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&category=Bibles&N=1029249+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&format=1014722&Ns=product.number_sold","Bibles > Study Bible","1","116","christianbook.com (search page)","2879"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=2540097+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Homeschool > Subjects > Bible Resources & Curriculum > Bible Supplements","1","116","christianbook.com (search page)","2880"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=1120830+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Church & Supplies > Sunday School","1","115","christianbook.com (search page)","2872"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=1110148+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&category=Kids%20%26%20Toys&Ns=product.number_sold","Kids & Toys > Bibles & Accessories","1","114","christianbook.com (search page)","2839"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=3250737+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Books, eBooks & Audio > eBooks > Spanish","1","114","christianbook.com (search page)","2838"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&category=Personal%2520Development&N=1031049+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&format=1014644&Ns=product.number_sold","Books, eBooks & Audio > Personal Growth > Leadership / Motivational","1","114","christianbook.com (search page)","2850"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=1110148+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Kids & Toys > Bibles & Accessories","1","114","christianbook.com (search page)","2839"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=2562237+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Homeschool > Subjects > Language Arts > Phonics & Reading","1","111","christianbook.com (search page)","2753"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=1727397+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&category=Streaming%20Video&Ns=product.number_sold","Streaming Video > Purchase","1","110","christianbook.com (search page)","2736"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&category=Gifts&N=1029934+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&format=1014723&Ns=product.number_sold","Gift & Home > Jewelry","1","110","christianbook.com (search page)","2729"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=3227787+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Books, eBooks & Audio > eBooks > Missions Evangelism & Apologetics","1","108","christianbook.com (search page)","2677"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=2929707+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Books, eBooks & Audio > Audiobooks > Christian Living","1","107","christianbook.com (search page)","2670"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=2577357+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Homeschool > Subjects > Science > Science Subjects","1","107","christianbook.com (search page)","2660"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&category=Music&N=1124168+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&format=1014677&Ns=product.number_sold","Music > Full-Album CD","1","107","christianbook.com (search page)","2672"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=1143065+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Books, eBooks & Audio > Fiction > Romance > Contemporary Romance","1","106","christianbook.com (search page)","2635"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=3303657+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Books, eBooks & Audio > Academic > Biblical Studies > Old Testament Studies","1","106","christianbook.com (search page)","2628"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=1125063+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Music > MP3 Music Downloads > Homeschool","1","103","christianbook.com (search page)","2559"
"https://www.christianbook.com/Christian/Books/easy_find?event=EBRN&N=3739707+5401&Ne=1000000&Nso=1&Nu=product.endeca_rollup&Ns=product.number_sold","Books, eBooks & Audio > Christian Living > Devotionals > General","1","100","christianbook.com (search page)","2490"
