"Category URL","Category Name","First Page","Last Page","Source Domain","Product Count"
"https://www.currys.co.uk/gbuk/audio-and-headphones/headphones/headphones/291_3919_31664_xx_xx/","Audio And Headphones > Headphones > Headphones","1","28","currys.co.uk","549"
"https://www.currys.co.uk/gbuk/computing-accessories/printers-scanners-and-ink/ink-and-cartridges/printer-cartridges/319_3067_30096_xx_xx/","Computing Accessories > Printers, Scanners And Ink > Ink And Cartridges","1","28","currys.co.uk","542"
"https://www.currys.co.uk/gbuk/wireless-bluetooth-speakers/audio/hifi-systems-and-speakers/550_4278_31971_xx_ba00013487-bv00313061/","Audio And Headphones > Audio > Hifi Systems And Speakers > Hifi Systems And Speakers > Wireless & Bluetooth Speakers","1","17","currys.co.uk","330"
"https://www.currys.co.uk/gbuk/portable-bluetooth-speakers/audio/hifi-systems-and-speakers/550_4278_31971_xx_ba00013487-bv00313062/","Audio And Headphones > Audio > Hifi Systems And Speakers > Hifi Systems And Speakers > Portable Bluetooth Speakers","1","12","currys.co.uk","231"
"https://www.currys.co.uk/gbuk/household-appliances/cooking/microwaves/335_3152_32014_xx_xx/","Household Appliances > Cooking > Microwaves","1","11","currys.co.uk","212"
"https://www.currys.co.uk/gbuk/cameras-and-camcorders/digital-cameras/compact-and-bridge-cameras/344_3199_30301_xx_xx/","Cameras And Camcorders > Digital Cameras > Compact And Bridge Cameras","1","10","currys.co.uk","198"
"https://www.currys.co.uk/gbuk/cameras-and-camcorders/photography-accessories/lenses/346_3209_30311_xx_xx/","Cameras And Camcorders > Photography Accessories > Lenses","1","9","currys.co.uk","167"
"https://www.currys.co.uk/gbuk/search-keywords/xx_xx_xx_xx_xx/-clearance-/","Search > Clearance","1","9","currys.co.uk","170"
"https://www.currys.co.uk/gbuk/cameras-and-camcorders/digital-cameras/dslr-and-compact-system-cameras/344_3757_31522_xx_xx/","Cameras And Camcorders > Digital Cameras > Dslr And Compact System Cameras","1","9","currys.co.uk","170"
"https://www.currys.co.uk/gbuk/computing/desktop-pcs/desktop-pcs/317_3055_30057_xx_xx/","Computing > Desktop Pcs > Desktop Pcs","1","9","currys.co.uk","170"
"https://www.currys.co.uk/gbuk/computing-accessories/computer-accessories/headsets-and-microphones/318_4237_31941_xx_xx/","Computing Accessories > Computer Accessories > Headsets And Microphones","1","9","currys.co.uk","173"
"https://www.currys.co.uk/gbuk/phones-broadband-and-sat-nav/mobile-phones-and-accessories/mobile-phones/362_3412_32041_xx_xx/","Phones, Broadband And Sat Nav > Mobile Phones And Accessories > Mobile Phones","1","8","currys.co.uk","156"
"https://www.currys.co.uk/gbuk/cameras-and-camcorders/photography-accessories/camcorder-accessories/346_4478_32156_xx_xx/","Cameras And Camcorders > Photography Accessories > Camcorder Accessories","1","7","currys.co.uk","121"
"https://www.currys.co.uk/gbuk/tv-and-home-entertainment/dvd-blu-ray-and-home-cinema/home-cinema-systems-and-sound-bars/303_3018_30018_xx_xx/","Tv And Home Entertainment > Dvd, Blu-Ray And Home Cinema > Home Cinema Systems And Sound Bars","1","7","currys.co.uk","133"
"https://www.currys.co.uk/gbuk/computing/pc-monitors/pc-monitors/354_3057_30059_xx_xx/","Computing > Pc Monitors > Pc Monitors","1","7","currys.co.uk","130"
"https://www.currys.co.uk/gbuk/computing-accessories/computer-accessories/laptop-bags-and-cases/318_3059_30067_xx_xx/","Computing Accessories > Computer Accessories > Laptop Bags And Cases","1","6","currys.co.uk","105"
"https://www.currys.co.uk/gbuk/cameras-and-camcorders/photography-accessories/camera-bags-and-cases/346_3205_30307_xx_xx/","Cameras And Camcorders > Photography Accessories > Camera Bags And Cases","1","6","currys.co.uk","102"
"https://www.currys.co.uk/gbuk/audio-and-headphones/audio/radios/550_4276_31970_xx_xx/","Audio And Headphones > Audio > Radios","1","6","currys.co.uk","109"
"https://www.currys.co.uk/gbuk/computing-accessories/printers-scanners-and-ink/printers/319_3065_30087_xx_xx/","Computing Accessories > Printers, Scanners And Ink > Printers","1","6","currys.co.uk","107"
"https://www.currys.co.uk/gbuk/phones-broadband-and-sat-nav/telephones/telephones/343_3194_31162_xx_xx/","Phones, Broadband And Sat Nav > Telephones > Telephones","1","6","currys.co.uk","105"
"https://www.currys.co.uk/gbuk/phones-broadband-and-sat-nav/mobile-phones-and-accessories/mobile-accessories/362_3413_32042_xx_xx/","Phones, Broadband And Sat Nav > Mobile Phones And Accessories > Mobile Accessories","1","6","currys.co.uk","103"
"https://www.currys.co.uk/gbuk/computing-accessories/components-upgrades/tower-cases/324_4402_32092_xx_xx/","Computing Accessories > Components & Upgrades > Tower Cases","1","5","currys.co.uk","81"
"https://www.currys.co.uk/gbuk/computing-accessories/office-supplies/office-furniture/510_4425_32070_xx_xx/","Computing Accessories > Office Supplies > Office Furniture","1","5","currys.co.uk","88"
"https://www.currys.co.uk/gbuk/cameras-and-camcorders/photography-accessories/camera-accessories/346_3270_30358_xx_xx/","Cameras And Camcorders > Photography Accessories > Camera Accessories","1","5","currys.co.uk","92"
"https://www.currys.co.uk/gbuk/apple-ipads/tablets-and-ereaders/tablets/149_3402_32003_267_ba00010673-bv00308594/","Computing > Tablets And Ereaders > Tablets > Apple > Ipads","1","5","currys.co.uk","86"
"https://www.currys.co.uk/gbuk/multi-room-speakers/audio/hifi-systems-and-speakers/550_4278_31971_xx_ba00013487-bv00313067/","Audio And Headphones > Audio > Hifi Systems And Speakers > Hifi Systems And Speakers > Multi-Room Speakers","1","5","currys.co.uk","93"
"https://www.currys.co.uk/gbuk/cameras-and-camcorders/photography-accessories/binoculars/346_3797_31507_xx_xx/","Cameras And Camcorders > Photography Accessories > Binoculars","1","4","currys.co.uk","71"
"https://www.currys.co.uk/gbuk/cameras-and-camcorders/photography-accessories/memory-cards-and-readers/346_3295_31023_xx_xx/","Cameras And Camcorders > Photography Accessories > Memory Cards And Readers","1","4","currys.co.uk","62"
"https://www.currys.co.uk/gbuk/android-tablets/tablets-and-ereaders/tablets/149_3402_32003_xx_ba00010673-bv00308595/","Computing > Tablets And Ereaders > Tablets > Android Tablets","1","4","currys.co.uk","65"
"https://www.currys.co.uk/gbuk/computing-accessories/data-storage/external-hard-drives/355_3235_30125_xx_xx/","Computing Accessories > Data Storage > External Hard Drives","1","4","currys.co.uk","68"
"https://www.currys.co.uk/gbuk/ipad-cases/computer-accessories/tablet-accessories/tablet-cases-and-keyboards/318_4416_32013_xx_ba00010758-bv00310749/","Computing Accessories > Computer Accessories > Tablet Accessories > Tablet Cases And Keyboards > Ipad Cases","1","4","currys.co.uk","65"
