"Category URL","Category Name","First Page","Last Page","Source Domain","Product Count"
"https://www.halfpriceperfumes.co.uk/en/67-pharmacy","Pharmacy","1","156","halfpriceperfumes.co.uk","1866"
"https://www.halfpriceperfumes.co.uk/en/1620-all-pharmacy","Pharmacy > All Pharmacy","1","56","halfpriceperfumes.co.uk","672"
"https://www.halfpriceperfumes.co.uk/en/22-skincare","Skincare","1","38","halfpriceperfumes.co.uk","453"
"https://www.halfpriceperfumes.co.uk/en/80-all-skincare","Skincare > All Skincare","1","35","halfpriceperfumes.co.uk","414"
"https://www.halfpriceperfumes.co.uk/en/1594-p-pharmacy-only","Pharmacy > P- Pharmacy Only","1","32","halfpriceperfumes.co.uk","375"
"https://www.halfpriceperfumes.co.uk/en/2-for-women","For Women","1","31","halfpriceperfumes.co.uk","368"
"https://www.halfpriceperfumes.co.uk/en/3675-pharmacy-specials","Pharmacy > Pharmacy Specials- UK","1","28","halfpriceperfumes.co.uk","325"
"https://www.halfpriceperfumes.co.uk/en/18-perfumes","For Women > Fragrance For Her","1","25","halfpriceperfumes.co.uk","291"
"https://www.halfpriceperfumes.co.uk/en/3676-pharmacy-specials-usa","Pharmacy > Pharmacy Specials - USA","1","22","halfpriceperfumes.co.uk","255"
"https://www.halfpriceperfumes.co.uk/en/1622-ear-nose-throat","Pharmacy > Eyes, Ears, Nose & Throat","1","18","halfpriceperfumes.co.uk","209"
"https://www.halfpriceperfumes.co.uk/en/1395-vitamins","Pharmacy > Nutrition & Supplements","1","17","halfpriceperfumes.co.uk","196"
"https://www.halfpriceperfumes.co.uk/en/1624-skin-creams-lotions","Pharmacy > Skin , Creams & Lotions","1","15","halfpriceperfumes.co.uk","170"
"https://www.halfpriceperfumes.co.uk/en/3516-for-men","For Men","1","14","halfpriceperfumes.co.uk","158"
"https://www.halfpriceperfumes.co.uk/en/1621-pain-relief-2","Pharmacy > Pain Relief","1","14","halfpriceperfumes.co.uk","157"
"https://www.halfpriceperfumes.co.uk/en/1578-first-aid","Pharmacy > First Aid","1","14","halfpriceperfumes.co.uk","166"
"https://www.halfpriceperfumes.co.uk/en/1405-babycare","Pharmacy > Babycare","1","11","halfpriceperfumes.co.uk","125"
"https://www.halfpriceperfumes.co.uk/en/3511-aftershave","For Men > Aftershave","1","10","halfpriceperfumes.co.uk","116"
"https://www.halfpriceperfumes.co.uk/en/148-hair-care","Hair Care","1","10","halfpriceperfumes.co.uk","115"
"https://www.halfpriceperfumes.co.uk/en/1623-dental-care","Pharmacy > Dental Care","1","10","halfpriceperfumes.co.uk","119"
"https://www.halfpriceperfumes.co.uk/en/1345-embarrassing-symptoms","Pharmacy > Embarrassing Symptoms","1","10","halfpriceperfumes.co.uk","109"
"https://www.halfpriceperfumes.co.uk/en/1045-all-haircare","Hair Care > All Haircare","1","5","halfpriceperfumes.co.uk","50"
