"Category URL","Category Name","First Page","Last Page","Source Domain","Product Count"
"https://www.houzz.co.uk/products/products-prbr0-br~t_10002",,"1","18082","houzz.co.uk","650935"
"https://www.houzz.co.uk/products/living-products-pcat-br~t_10190","Living","1","7858","houzz.co.uk","282880"
"https://www.houzz.co.uk/products/home-decor-prbr0-br~t_10208","Living > Home Decor","1","6181","houzz.co.uk","222510"
"https://www.houzz.co.uk/products/bedroom-products-prbr0-br~t_10164","Bedroom","1","4982","houzz.co.uk","179336"
"https://www.houzz.co.uk/products/home-improvement-prbr0-br~t_12575","Home Improvement","1","4721","houzz.co.uk","169952"
"https://www.houzz.co.uk/products/furniture-prbr0-br~t_12562","Furniture","1","3843","houzz.co.uk","138344"
"https://www.houzz.co.uk/products/bedroom-decor-prbr0-br~t_13221","Bedroom > Bedroom Decor","1","3673","houzz.co.uk","132205"
"https://www.houzz.co.uk/products/kitchen-and-dining-prbr0-br~t_12571","Kitchen & Dining","1","2449","houzz.co.uk","88136"
"https://www.houzz.co.uk/products/lighting-prbr0-br~t_10258","Lighting","1","1820","houzz.co.uk","65513"
"https://www.houzz.co.uk/products/living-room-furniture-prbr0-br~t_12565","Furniture > Living Room Furniture","1","1568","houzz.co.uk","56431"
"https://www.houzz.co.uk/products/storage-and-organisation-prbr0-br~t_10364","Storage & Organisation","1","1525","houzz.co.uk","54896"
"https://www.houzz.co.uk/products/rugs-prbr0-br~t_10202","Living > Home Decor > Rugs","1","1488","houzz.co.uk","53549"
"https://www.houzz.co.uk/products/hallway-products-prbr0-br~t_10410","Hallway","1","1346","houzz.co.uk","48421"
"https://www.houzz.co.uk/products/decorative-accessories-prbr0-br~t_12568","Living > Home Decor > Decorative Accessories","1","1322","houzz.co.uk","47572"
"https://www.houzz.co.uk/products/bathroom-products-prbr0-br~t_10137","Bathroom","1","1231","houzz.co.uk","44293"
"https://www.houzz.co.uk/products/bedding-prbr0-br~t_10165","Bedroom > Bedding","1","940","houzz.co.uk","33837"
"https://www.houzz.co.uk/products/kitchen-and-dining-furniture-prbr0-br~t_12564","Dining > Kitchen & Dining Furniture","1","880","houzz.co.uk","31650"
"https://www.houzz.co.uk/products/ceiling-lighting-prbr0-br~t_10261","Hallway > Ceiling Lighting","1","813","houzz.co.uk","29241"
"https://www.houzz.co.uk/products/cushions-and-throws-prbr0-br~t_10214","Living > Home Decor > Decorative Accessories > Cushions & Throws","1","754","houzz.co.uk","27118"
"https://www.houzz.co.uk/products/storage-furniture-prbr0-br~t_12583","Storage & Organisation > Storage Furniture","1","747","houzz.co.uk","26880"
"https://www.houzz.co.uk/products/garden-products-prbr0-br~t_10283","Garden","1","655","houzz.co.uk","23556"
"https://www.houzz.co.uk/products/wallpaper-prbr0-br~t_10237","Bedroom > Bedroom Decor > Wall Decor > Wallpaper","1","561","houzz.co.uk","20171"
"https://www.houzz.co.uk/products/tableware-prbr0-br~t_10071","Kitchen > Tableware","1","546","houzz.co.uk","19634"
"https://www.houzz.co.uk/products/pendant-lighting-prbr0-br~t_10259","Hallway > Ceiling Lighting > Pendant Lighting","1","495","houzz.co.uk","17786"
"https://www.houzz.co.uk/products/coffee-and-side-tables-prbr0-br~t_10195","Living > Coffee & Side Tables","1","442","houzz.co.uk","15884"
"https://www.houzz.co.uk/products/lamps-prbr0-br~t_12570","Lighting > Lamps","1","418","houzz.co.uk","15017"
"https://www.houzz.co.uk/products/prints-and-posters-prbr0-br~t_10219","Bedroom > Bedroom Decor > Wall Decor > Prints & Posters","1","406","houzz.co.uk","14604"
"https://www.houzz.co.uk/products/beds-and-headboards-prbr0-br~t_10175","Bedroom > Beds & Headboards","1","387","houzz.co.uk","13902"
"https://www.houzz.co.uk/products/home-office-furniture-prbr0-br~t_12566","Furniture > Home Office Furniture","1","374","houzz.co.uk","13431"
"https://www.houzz.co.uk/products/table-lamps-prbr0-br~t_10182","Bedroom > Bedroom Decor > Table Lamps","1","256","houzz.co.uk","9213"
"https://www.houzz.co.uk/products/dining-chairs-prbr0-br~t_10115","Living > Chairs > Dining Chairs","1","244","houzz.co.uk","8773"
"https://www.houzz.co.uk/products/sofas-and-corner-sofas-prbr0-br~t_12556","Living > Sofas & Corner Sofas","1","241","houzz.co.uk","8644"
"https://www.houzz.co.uk/products/mirrors-prbr0-br~t_10222","Entry Hall > Mirrors","1","241","houzz.co.uk","8668"
"https://www.houzz.co.uk/products/hallway-furniture-prbr0-br~t_12567","Furniture > Hallway Furniture","1","239","houzz.co.uk","8582"
"https://www.houzz.co.uk/products/wall-lighting-prbr0-br~t_10260","Lighting > Wall Lighting","1","228","houzz.co.uk","8207"
"https://www.houzz.co.uk/products/garden-furniture-prbr0-br~t_10288","Garden > Garden Furniture","1","223","houzz.co.uk","7999"
"https://www.houzz.co.uk/products/window-treatments-prbr0-br~t_12578","Living > Home Decor > Window Treatments","1","204","houzz.co.uk","7309"
"https://www.houzz.co.uk/products/armchairs-prbr0-br~t_10204","Living > Chairs > Armchairs","1","201","houzz.co.uk","7217"
"https://www.houzz.co.uk/products/dining-tables-prbr0-br~t_10113","Dining > Kitchen & Dining Furniture > Dining Tables","1","200","houzz.co.uk","7187"
"https://www.houzz.co.uk/products/bathroom-accessories-prbr0-br~t_10138","Bathroom > Bathroom Accessories","1","183","houzz.co.uk","6558"
"https://www.houzz.co.uk/products/shelving-prbr0-br~t_22028","Storage & Organisation > Shelving","1","178","houzz.co.uk","6373"
"https://www.houzz.co.uk/products/sofas-prbr0-br~t_10191","Living > Sofas & Corner Sofas > Sofas","1","162","houzz.co.uk","5800"
"https://www.houzz.co.uk/products/kitchen-storage-and-organisation-prbr0-br~t_12572","Storage & Organisation > Kitchen Storage & Organisation","1","158","houzz.co.uk","5684"
"https://www.houzz.co.uk/products/home-office-accessories-prbr0-br~t_12687","Home Office > Home Office Accessories","1","146","houzz.co.uk","5228"
"https://www.houzz.co.uk/products/outdoor-lighting-prbr0-br~t_10269","Lighting > Outdoor Lighting","1","142","houzz.co.uk","5083"
"https://www.houzz.co.uk/products/chandeliers-prbr0-br~t_10183","Hallway > Ceiling Lighting > Chandeliers","1","133","houzz.co.uk","4766"
"https://www.houzz.co.uk/products/floor-lamps-prbr0-br~t_10266","Lighting > Lamps > Floor Lamps","1","130","houzz.co.uk","4649"
"https://www.houzz.co.uk/products/chests-of-drawers-prbr0-br~t_10180","Storage & Organisation > Storage Furniture > Chests of Drawers","1","127","houzz.co.uk","4540"
"https://www.houzz.co.uk/products/bathroom-linens-prbr0-br~t_10142","Bathroom > Bathroom Linens","1","127","houzz.co.uk","4554"
"https://www.houzz.co.uk/products/wardrobe-organisers-prbr0-br~t_12686","Storage & Organisation > Wardrobe Organisers","1","124","houzz.co.uk","4444"
"https://www.houzz.co.uk/products/sideboards-prbr0-br~t_10279","Storage & Organisation > Storage Furniture > Sideboards","1","121","houzz.co.uk","4325"
"https://www.houzz.co.uk/products/bathroom-furniture-prbr0-br~t_10146","Storage & Organisation > Bathroom Furniture","1","118","houzz.co.uk","4215"
"https://www.houzz.co.uk/products/childrens-furniture-prbr0-br~t_10331","Baby & Children > Children's Furniture","1","118","houzz.co.uk","4245"
"https://www.houzz.co.uk/products/showers-prbr0-br~t_10150","Bathroom > Showers","1","116","houzz.co.uk","4165"
"https://www.houzz.co.uk/products/media-storage-and-media-units-prbr0-br~t_10194","Storage & Organisation > Office Storage > Media Storage & Media Units","1","110","houzz.co.uk","3931"
"https://www.houzz.co.uk/products/clocks-prbr0-br~t_10229","Living > Home Decor > Clocks","1","108","houzz.co.uk","3882"
"https://www.houzz.co.uk/products/kitchen-and-bar-stools-prbr0-br~t_10117","Dining > Beer & Wine > Kitchen & Bar Stools","1","101","houzz.co.uk","3630"
"https://www.houzz.co.uk/products/flush-ceiling-lights-prbr0-br~t_14240","Hallway > Ceiling Lighting > Flush Ceiling Lights","1","100","houzz.co.uk","3565"
"https://www.houzz.co.uk/products/bookcases-prbr0-br~t_10354","Storage & Organisation > Shelving > Bookcases","1","97","houzz.co.uk","3467"
"https://www.houzz.co.uk/products/wardrobes-and-armoires-prbr0-br~t_14256","Storage & Organisation > Storage Furniture > Wardrobes & Armoires","1","95","houzz.co.uk","3387"
"https://www.houzz.co.uk/products/garden-decoration-prbr0-br~t_10295","Garden > Garden Decoration","1","93","houzz.co.uk","3329"
"https://www.houzz.co.uk/products/baby-and-childrens-products-prbr0-br~t_10329","Baby & Children","1","93","houzz.co.uk","3317"
"https://www.houzz.co.uk/products/garden-dining-furniture-prbr0-br~t_21198","Garden > Garden Furniture > Garden Dining Furniture","1","92","houzz.co.uk","3304"
"https://www.houzz.co.uk/products/picture-frames-prbr0-br~t_10221","Home Office > Home Office Accessories > Picture Frames","1","86","houzz.co.uk","3093"
"https://www.houzz.co.uk/products/bedside-tables-prbr0-br~t_10179","Bedroom > Bedside Tables","1","81","houzz.co.uk","2897"
"https://www.houzz.co.uk/products/housekeeping-and-utility-prbr0-br~t_10425","Housekeeping & Utility","1","76","houzz.co.uk","2735"
"https://www.houzz.co.uk/products/cookware-and-bakeware-products-prbr0-br~t_12850","Kitchen & Dining > Cookware & Bakeware","1","75","houzz.co.uk","2674"
"https://www.houzz.co.uk/products/plant-pots-and-planters-prbr0-br~t_10298","Exterior > Gardening & Irrigation > Outdoor Plant Pots & Planters","1","67","houzz.co.uk","2385"
"https://www.houzz.co.uk/products/bathroom-vanity-units-prbr0-br~t_10148","Storage & Organisation > Storage Furniture > Bathroom Vanity Units","1","65","houzz.co.uk","2321"
"https://www.houzz.co.uk/products/bathroom-sinks-prbr0-br~t_10152","Bathroom > Bathroom Sinks","1","52","houzz.co.uk","1837"
"https://www.houzz.co.uk/products/decorative-chests-and-cabinets-prbr0-br~t_15078","Storage & Organisation > Storage Furniture > Decorative Chests & Cabinets","1","41","houzz.co.uk","1468"
"https://www.houzz.co.uk/products/mattresses-prbr0-br~t_10178","Bedroom > Beds & Headboards > Mattresses","1","38","houzz.co.uk","1334"
"https://www.houzz.co.uk/products/storage-baskets-prbr0-br~t_10370","Living > Home Decor > Decorative Accessories > Decorative Storage > Storage Baskets","1","35","houzz.co.uk","1226"
"https://www.houzz.co.uk/products/home-electronics-prbr0-br~t_10223","Living > Home Electronics","1","34","houzz.co.uk","1192"
"https://www.houzz.co.uk/products/baths-prbr0-br~t_10149","Bathroom > Baths","1","34","houzz.co.uk","1190"
"https://www.houzz.co.uk/products/dressing-tables-prbr0-br~t_12997","Bedroom > Dressing Tables","1","31","houzz.co.uk","1089"
"https://www.houzz.co.uk/products/bathroom-mirrors-prbr0-br~t_10141","Entry Hall > Mirrors > Bathroom Mirrors","1","28","houzz.co.uk","999"
"https://www.houzz.co.uk/products/shoe-storage-prbr0-br~t_10367","Storage & Organisation > Wardrobe Organisers > Shoe Storage","1","27","houzz.co.uk","955"
"https://www.houzz.co.uk/products/pet-supplies-prbr0-br~t_10247","Pet Supplies","1","21","houzz.co.uk","755"
"https://www.houzz.co.uk/products/bathroom-cabinets-prbr0-br~t_10155","Storage & Organisation > Bathroom Furniture > Bathroom Cabinets","1","21","houzz.co.uk","722"
"https://www.houzz.co.uk/products/bathroom-wall-lights-prbr0-br~t_10153","Lighting > Wall Lighting > Bathroom Wall Lights","1","21","houzz.co.uk","726"
"https://www.houzz.co.uk/products/accent-and-storage-benches-prbr0-br~t_15190","Entry Hall > Indoor Benches > Accent & Storage Benches","1","19","houzz.co.uk","666"
"https://www.houzz.co.uk/products/garden-lounge-sets-prbr0-br~t_21194","Garden > Garden Furniture > Garden Lounge Furniture > Garden Lounge Sets","1","18","houzz.co.uk","643"
"https://www.houzz.co.uk/products/garden-storage-prbr0-br~t_22023","Storage & Organisation > Garden Storage","1","14","houzz.co.uk","491"
"https://www.houzz.co.uk/products/outdoor-cooking-prbr0-br~t_12580","Garden > Outdoor Cooking","1","14","houzz.co.uk","477"
"https://www.houzz.co.uk/products/kitchen-lighting-prbr0-br~t_10126","Lighting > Kitchen Lighting","1","13","houzz.co.uk","453"
