"Category URL","Category Name","First Page","Last Page","Source Domain","Product Count"
"https://www.lakeland.co.uk/around-the-home/","Around The Home","1","26","lakeland.co.uk","931"
"https://www.lakeland.co.uk/christmas/","Christmas","1","20","lakeland.co.uk","695"
"https://www.lakeland.co.uk/christmas/christmas-gifts/","Christmas > Christmas Gifts","1","14","lakeland.co.uk","497"
"https://www.lakeland.co.uk/christmas/christmas-gifts/gifts-by-category/","Christmas > Christmas Gifts > Gifts By Category","1","11","lakeland.co.uk","368"
"https://www.lakeland.co.uk/Gifts/Gifts-by-category/","Gifts > Gifts By Category","1","10","lakeland.co.uk","326"
"https://www.lakeland.co.uk/landing/special-offers/clearance/","Landing > Special Offers > Clearance","1","10","lakeland.co.uk","338"
"https://www.lakeland.co.uk/landing/mail-order-exclusives/","Landing > Mail Order Exclusives","1","9","lakeland.co.uk","321"
"https://www.lakeland.co.uk/landing/customer-favourites/","Landing > Customer Favourites","1","9","lakeland.co.uk","291"
"https://www.lakeland.co.uk/Gifts/Gifts-by-recipient/","Gifts > Gifts By Recipient","1","9","lakeland.co.uk","307"
"https://www.lakeland.co.uk/landing/new-lower-price/","Landing > New Lower Price","1","8","lakeland.co.uk","254"
"https://www.lakeland.co.uk/christmas/christmas-gifts/gifts-by-recipient/","Christmas > Christmas Gifts > Gifts By Recipient","1","7","lakeland.co.uk","236"
"https://www.lakeland.co.uk/christmas/christmas-entertaining/","Christmas > Christmas Entertaining","1","6","lakeland.co.uk","184"
"https://www.lakeland.co.uk/landing/special-offers/kitchenware-offers/","Landing > Special Offers > Kitchenware Offers","1","6","lakeland.co.uk","182"
"https://www.lakeland.co.uk/in-the-kitchen/dining-and-entertaining/outdoor-entertaining-and-picnics/","In The Kitchen > Dining And Entertaining > Outdoor Entertaining And Picnics","1","6","lakeland.co.uk","187"
"https://www.lakeland.co.uk/Easter/","Easter","1","6","lakeland.co.uk","191"
"https://www.lakeland.co.uk/Gifts/Gifts-by-category/Gifts-for-the-kitchen/","Gifts > Gifts By Category > Gifts For The Kitchen","1","5","lakeland.co.uk","164"
"https://www.lakeland.co.uk/Gifts/Gifts-by-occasion/","Gifts > Gifts By Occasion","1","5","lakeland.co.uk","164"
"https://www.lakeland.co.uk/trends/","Trends","1","5","lakeland.co.uk","153"
"https://www.lakeland.co.uk/in-the-kitchen/dining-and-entertaining/barware/","In The Kitchen > Dining And Entertaining > Barware","1","4","lakeland.co.uk","119"
"https://www.lakeland.co.uk/in-the-kitchen/dining-and-entertaining/tableware/","In The Kitchen > Dining And Entertaining > Tableware","1","4","lakeland.co.uk","127"
"https://www.lakeland.co.uk/outdoor-living/outdoor-dining-and-picnics/","Outdoor Living > Outdoor Dining And Picnics","1","4","lakeland.co.uk","139"
"https://www.lakeland.co.uk/landing/customer-favourites/Cleaning/","Landing > Customer Favourites > Cleaning","1","4","lakeland.co.uk","111"
"https://www.lakeland.co.uk/landing/storage-solutions/","Landing > Storage Solutions","1","4","lakeland.co.uk","140"
"https://www.lakeland.co.uk/landing/eco-friendly/","Landing > Eco Friendly","1","4","lakeland.co.uk","114"
"https://www.lakeland.co.uk/landing/vegan-living/","Landing > Vegan Living","1","4","lakeland.co.uk","111"
"https://www.lakeland.co.uk/christmas/christmas-gifts/gifts-by-category/gifts-for-the-kitchen/","Christmas > Christmas Gifts > Gifts By Category > Gifts For The Kitchen","1","4","lakeland.co.uk","123"
"https://www.lakeland.co.uk/landing/autumn/","Landing > Autumn","1","3","lakeland.co.uk","77"
"https://www.lakeland.co.uk/christmas/christmas-entertaining/christmas-barware/","Christmas > Christmas Entertaining > Christmas Barware","1","3","lakeland.co.uk","91"
"https://www.lakeland.co.uk/christmas/christmas-entertaining/christmas-serveware/","Christmas > Christmas Entertaining > Christmas Serveware","1","3","lakeland.co.uk","87"
"https://www.lakeland.co.uk/landing/special-offers/around-the-home-offers/","Landing > Special Offers > Around The Home Offers","1","3","lakeland.co.uk","84"
"https://www.lakeland.co.uk/in-the-kitchen/baking/cookie-and-pastry-cutters/","In The Kitchen > Baking > Cookie And Pastry Cutters","1","3","lakeland.co.uk","76"
"https://www.lakeland.co.uk/in-the-kitchen/kitchen-storage-and-organising/kitchen-units%2C-cupboards-and-drawers/","In The Kitchen > Kitchen Storage And Organising > Kitchen Units, Cupboards And Drawers","1","3","lakeland.co.uk","83"
"https://www.lakeland.co.uk/in-the-kitchen/cutting-and-chopping/knives/","In The Kitchen > Cutting And Chopping > Knives","1","3","lakeland.co.uk","96"
"https://www.lakeland.co.uk/in-the-kitchen/cooking/roasting/","In The Kitchen > Cooking > Roasting","1","3","lakeland.co.uk","83"
"https://www.lakeland.co.uk/in-the-kitchen/baking/bakeware/cake-tins/","In The Kitchen > Baking > Bakeware > Cake Tins","1","3","lakeland.co.uk","104"
"https://www.lakeland.co.uk/around-the-home/bins%2C-recycling-and-composting/","Around The Home > Bins, Recycling And Composting","1","3","lakeland.co.uk","94"
"https://www.lakeland.co.uk/around-the-home/storage-and-organising/clothes-and-shoe-storage/","Around The Home > Storage And Organising > Clothes And Shoe Storage","1","3","lakeland.co.uk","100"
"https://www.lakeland.co.uk/brands/oxo-good-grips/","Brands > Oxo Good Grips","1","3","lakeland.co.uk","82"
"https://www.lakeland.co.uk/brands/joseph-joseph/","Brands > Joseph Joseph","1","3","lakeland.co.uk","90"
"https://www.lakeland.co.uk/Easter/Easter-Baking/","Easter > Easter Baking","1","3","lakeland.co.uk","101"
"https://www.lakeland.co.uk/landing/events/","Landing > Events","1","3","lakeland.co.uk","97"
"https://www.lakeland.co.uk/landing/customer-favourites/kitchen-customer-favourites/","Landing > Customer Favourites > Kitchen Customer Favourites","1","3","lakeland.co.uk","93"
"https://www.lakeland.co.uk/landing/customer-favourites/home-customer-favourites/","Landing > Customer Favourites > Home Customer Favourites","1","3","lakeland.co.uk","85"
"https://www.lakeland.co.uk/christmas/christmas-baking-and-roasting/","Christmas > Christmas Baking And Roasting","1","3","lakeland.co.uk","95"
"https://www.lakeland.co.uk/landing/winter/","Landing > Winter","1","3","lakeland.co.uk","75"
"https://www.lakeland.co.uk/Gifts/Gifts-by-occasion/Mothers-day-gifts/","Gifts > Gifts By Occasion > Mothers Day Gifts","1","3","lakeland.co.uk","86"
"https://www.lakeland.co.uk/christmas/christmas-gifts/gifts-by-category/stocking-fillers/","Christmas > Christmas Gifts > Gifts By Category > Stocking Fillers","1","3","lakeland.co.uk","104"
"https://www.lakeland.co.uk/trends/spring/","Trends > Spring","1","3","lakeland.co.uk","93"
"https://www.lakeland.co.uk/landing/vegan-living/vegan-friendly-food-%26-ingredients/","Landing > Vegan Living > Vegan Friendly Food & Ingredients","1","3","lakeland.co.uk","106"
"https://www.lakeland.co.uk/christmas/christmas-baking-and-roasting/christmas-roasting/","Christmas > Christmas Baking And Roasting > Christmas Roasting","1","3","lakeland.co.uk","95"
"https://www.lakeland.co.uk/landing/gluten-free-goodies/","Landing > Gluten Free Goodies","1","3","lakeland.co.uk","91"
"https://www.lakeland.co.uk/landing/healthy-eating/","Landing > Healthy Eating","1","2","lakeland.co.uk","45"
"https://www.lakeland.co.uk/landing/autumn/autumn-cooking/","Landing > Autumn > Autumn Cooking","1","2","lakeland.co.uk","39"
"https://www.lakeland.co.uk/landing/price-matched/","Landing > Price Matched","1","2","lakeland.co.uk","59"
"https://www.lakeland.co.uk/landing/price-matched/kitchenware/","Landing > Price Matched > Kitchenware","1","2","lakeland.co.uk","48"
"https://www.lakeland.co.uk/in-the-kitchen/books-and-book-stands/","In The Kitchen > Books And Book Stands","1","2","lakeland.co.uk","41"
"https://www.lakeland.co.uk/in-the-kitchen/baking/baking-ingredients/","In The Kitchen > Baking > Baking Ingredients","1","2","lakeland.co.uk","40"
"https://www.lakeland.co.uk/in-the-kitchen/kitchen-electricals/food-mixers-and-attachments/","In The Kitchen > Kitchen Electricals > Food Mixers And Attachments","1","2","lakeland.co.uk","47"
"https://www.lakeland.co.uk/in-the-kitchen/kitchen-storage-and-organising/hooks%2C-hanging-and-wall-racks/","In The Kitchen > Kitchen Storage And Organising > Hooks, Hanging And Wall Racks","1","2","lakeland.co.uk","39"
"https://www.lakeland.co.uk/in-the-kitchen/kitchen-storage-and-organising/sink/","In The Kitchen > Kitchen Storage And Organising > Sink","1","2","lakeland.co.uk","45"
"https://www.lakeland.co.uk/in-the-kitchen/food-and-drink/confectionery/","In The Kitchen > Food And Drink > Confectionery","1","2","lakeland.co.uk","40"
"https://www.lakeland.co.uk/in-the-kitchen/preserving-and-make-your-own/preserving-and-pickling/","In The Kitchen > Preserving And Make Your Own > Preserving And Pickling","1","2","lakeland.co.uk","70"
"https://www.lakeland.co.uk/in-the-kitchen/cutting-and-chopping/chopping-boards-and-racks/","In The Kitchen > Cutting And Chopping > Chopping Boards And Racks","1","2","lakeland.co.uk","50"
"https://www.lakeland.co.uk/in-the-kitchen/food-storage/containers/","In The Kitchen > Food Storage > Containers","1","2","lakeland.co.uk","66"
"https://www.lakeland.co.uk/in-the-kitchen/dining-and-entertaining/barware/cocktail-making/","In The Kitchen > Dining And Entertaining > Barware > Cocktail Making","1","2","lakeland.co.uk","70"
"https://www.lakeland.co.uk/in-the-kitchen/dining-and-entertaining/outdoor-entertaining-and-picnics/lunch-box-and-containers/","In The Kitchen > Dining And Entertaining > Outdoor Entertaining And Picnics > Lunch Box And Containers","1","2","lakeland.co.uk","39"
"https://www.lakeland.co.uk/in-the-kitchen/dining-and-entertaining/tableware/serving-boards-and-dishes/","In The Kitchen > Dining And Entertaining > Tableware > Serving Boards And Dishes","1","2","lakeland.co.uk","57"
"https://www.lakeland.co.uk/in-the-kitchen/baking/cake-decorating/icing-and-marzipan/","In The Kitchen > Baking > Cake Decorating > Icing And Marzipan","1","2","lakeland.co.uk","47"
"https://www.lakeland.co.uk/in-the-kitchen/kitchen-storage-and-organising/kitchen-units%2C-cupboards-and-drawers/kitchen-trolleys-and-carts/","In The Kitchen > Kitchen Storage And Organising > Kitchen Units, Cupboards And Drawers > Kitchen Trolleys And Carts","1","2","lakeland.co.uk","47"
"https://www.lakeland.co.uk/in-the-kitchen/cooking/roasting/roasting-pans%2C-tins-and-trays/","In The Kitchen > Cooking > Roasting > Roasting Pans, Tins And Trays","1","2","lakeland.co.uk","42"
"https://www.lakeland.co.uk/in-the-kitchen/cooking/pots-and-pans/saucepans/","In The Kitchen > Cooking > Pots And Pans > Saucepans","1","2","lakeland.co.uk","47"
"https://www.lakeland.co.uk/in-the-kitchen/cooking/pots-and-pans/frying-pans-and-skillets/","In The Kitchen > Cooking > Pots And Pans > Frying Pans And Skillets","1","2","lakeland.co.uk","67"
"https://www.lakeland.co.uk/around-the-home/bins%2C-recycling-and-composting/bins/","Around The Home > Bins, Recycling And Composting > Bins","1","2","lakeland.co.uk","49"
"https://www.lakeland.co.uk/around-the-home/laundry-and-ironing/ironing-boards-and-covers/","Around The Home > Laundry And Ironing > Ironing Boards And Covers","1","2","lakeland.co.uk","44"
"https://www.lakeland.co.uk/around-the-home/laundry-and-ironing/indoor-drying-and-airers/","Around The Home > Laundry And Ironing > Indoor Drying And Airers","1","2","lakeland.co.uk","57"
"https://www.lakeland.co.uk/around-the-home/cleaning-equipment/vacuums-and-steam-cleaners/","Around The Home > Cleaning Equipment > Vacuums And Steam Cleaners","1","2","lakeland.co.uk","40"
