"categoryname","domain","item","nexturl","page","pageType","url"
"Toothpicks & Party Picks","www.katom.com",25,,53,"search","https://www.katom.com/cat/toothpick-party-picks.html"
"Butcher Block Work Tables","www.katom.com",25,,52,"search","https://www.katom.com/cat/butcher-blocks-tables.html"
"Insulated Beverage Dispensers","www.katom.com",25,,116,"search","https://www.katom.com/cat/insulated-drink-dispensers.html"
"Waring Commercial Toasters","www.katom.com",12,,12,"search","https://www.katom.com/cat/waring-toasters-panini-grills.html"
"Waring Specialty Products","www.katom.com",25,,38,"search","https://www.katom.com/cat/waring-specialty-products.html"
"Commercial Pressure Fryer","www.katom.com",13,,13,"search","https://www.katom.com/cat/pressure-fryers.html"
"French Fry Scoops","www.katom.com",18,,18,"search","https://www.katom.com/cat/fry-scoops.html"
"Adaptor Plates & Bars","www.katom.com",25,,119,"search","https://www.katom.com/cat/adaptor-plates-bars.html"
"Inset & Spillage/Water Pans","www.katom.com",25,,108,"search","https://www.katom.com/cat/insets-spillagewater-pans.html"
"Food Bar Tray Slides","www.katom.com",25,,229,"search","https://www.katom.com/cat/food-bar-tray-slides-end-shelves.html"
"Countertop Buffet Warmers","www.katom.com",25,,103,"search","https://www.katom.com/cat/countertop-buffet-warmer.html"
"Faucet Spouts & Base","www.katom.com",25,,105,"search","https://www.katom.com/cat/spouts.html"
"Metering & Self-Closing Faucets","www.katom.com",9,,9,"search","https://www.katom.com/cat/metering.html"
"Faucet Repair Kits & Parts","www.katom.com",25,,79,"search","https://www.katom.com/cat/faucet-repair-kits.html"
"Commercial Kitchen Faucets","www.katom.com",25,,368,"search","https://www.katom.com/cat/single-sink-faucets.html"
"Retractable Hose Reels","www.katom.com",25,,59,"search","https://www.katom.com/cat/retractable-hose-reels.html"
"Equipment Stands","www.katom.com",25,,431,"search","https://www.katom.com/cat/equipment-stands.html"
"Add-On Faucets","www.katom.com",15,,15,"search","https://www.katom.com/cat/add-on-faucets.html"
"Glass Filler & Faucets","www.katom.com",24,,24,"search","https://www.katom.com/cat/water-stations-and-fillers.html"
"Grease Trap & Interceptors","www.katom.com",25,,48,"search","https://www.katom.com/cat/grease-traps.html"
"Market-Forge Tilting Skillets","www.katom.com",16,,16,"search","https://www.katom.com/cat/market-forge-tilting-skillets.html"
"Tea Box","www.katom.com",6,,6,"search","https://www.katom.com/cat/tea-box.html"
"Southbend Deep Fryer","www.katom.com",9,,9,"search","https://www.katom.com/cat/southbend-deep-fryer.html"
"Rubbermaid Outdoor Trash Can","www.katom.com",25,,82,"search","https://www.katom.com/cat/rubbermaid-outdoor-trash-can.html"
"Meat Thermometer","www.katom.com",25,,155,"search","https://www.katom.com/cat/cooking-thermometers.html"
"Coffee Maker Water Filter","www.katom.com",25,,42,"search","https://www.katom.com/cat/coffee-maker-water-filter.html"
"Restaurant Chairs","www.katom.com",25,,76,"search","https://www.katom.com/cat/restaurant-chairs.html"
"Hostess Stand & Cash Register Stands","www.katom.com",25,,57,"search","https://www.katom.com/cat/cashier-reception-stands.html"
"Microfiber Mops & Cleaning Cloth","www.katom.com",25,,103,"search","https://www.katom.com/cat/microfiber-cleaners-and-handles.html"
"Table Levelers","www.katom.com",25,,34,"search","https://www.katom.com/cat/table-levelers.html"
"Tiles, Cut Outs & Salad Bar Equipment","www.katom.com",25,,38,"search","https://www.katom.com/cat/tiles-cut-outs.html"
"Carnival Games","www.katom.com",12,,12,"search","https://www.katom.com/cat/carnival-games.html"
"Fryer Cleaning Tools & Splash Guards","www.katom.com",16,,16,"search","https://www.katom.com/cat/fryer-cleaning-tools.html"
"Commercial Chest Freezer","www.katom.com",25,,30,"search","https://www.katom.com/cat/commercial-chest-freezer.html"
"Food & Vending Carts","www.katom.com",25,,153,"search","https://www.katom.com/cat/concession-carts.html"
"Chef Base - Refrigerated","www.katom.com",25,,136,"search","https://www.katom.com/cat/chef-base.html"
"Walk In Freezer","www.katom.com",25,,85,"search","https://www.katom.com/cat/walk-in-freezer.html"
"Walk In Refrigerators & Coolers","www.katom.com",25,,174,"search","https://www.katom.com/cat/walk-in-refrigerator.html"
"Cooking Carts & Mobile Cooking Stations","www.katom.com",25,,37,"search","https://www.katom.com/cat/mobile-cooking.html"
"Restaurant Decorations & Decor","www.katom.com",6,,6,"search","https://www.katom.com/cat/decor.html"
"Mongolian BBQ Range","www.katom.com",20,,20,"search","https://www.katom.com/cat/mongolian-bbq-range.html"
"Alto Shaam Heated Holding Cabinets","www.katom.com",25,,34,"search","https://www.katom.com/cat/alto-shaam-heated-holding-cabinet.html"
"Bakers Pride Cooking Equipment","www.katom.com",18,,18,"search","https://www.katom.com/cat/bakers-pride-specialty-cooking-equipment.html"
"Waring Panini Presses & Grills","www.katom.com",22,,22,"search","https://www.katom.com/cat/waring-panini-press.html"
"Elkay Sinks","www.katom.com",25,,178,"search","https://www.katom.com/cat/elkay-sinks.html"
"Kids' Aprons & Chef Hats","www.katom.com",8,,8,"search","https://www.katom.com/cat/katom-kids.html"
"KitchenAid Toaster Ovens & Ovens","www.katom.com",7,,7,"search","https://www.katom.com/cat/kitchenaid-countertop-oven.html"
"Rotating Rack Ovens","www.katom.com",4,,4,"search","https://www.katom.com/cat/rack-oven.html"
"Krowne Metal Faucets & Commercial Faucets","www.katom.com",25,,163,"search","https://www.katom.com/cat/krowne-metal-faucets.html"
"Terracotta Dinnerware & Syracuse China","www.katom.com",15,,15,"search","https://www.katom.com/cat/syracuse-china-terracotta.html"
"Egg Rings & Cooking Rings","www.katom.com",17,,17,"search","https://www.katom.com/cat/egg-rings.html"
"Egg Poacher Pans & Cups","www.katom.com",22,,22,"search","https://www.katom.com/cat/egg-poacher.html"
"Recycling Bins & Containers","www.katom.com",25,,208,"search","https://www.katom.com/cat/recycle-bin.html"
"Slim & Narrow Trash Cans","www.katom.com",25,,37,"search","https://www.katom.com/cat/slim-trash-can.html"
"Waste Baskets & Small Trash Cans","www.katom.com",25,,61,"search","https://www.katom.com/cat/waste-basket.html"
