"Category URL"",""Category Name"",""First Page"",""Last Page"",""Source Domain"",""Product Count"
"1319515557"",""Office Supplies > Office Furniture & Decor > Office Decor"",""1"",""27036"",""sears.com"",""1351779"
"5007139"",""Clothing > For the Family"",""1"",""22747"",""sears.com"",""1137338"
"1327352597"",""Jewelry > Wedding & Engagement Jewelry > Jewelry for the Wedding Party > Bridesmaid Jewelry"",""1"",""17215"",""sears.com"",""860725"
"1327352601"",""Jewelry > Wedding & Engagement Jewelry > Jewelry for the Wedding Party > Jewelry for Mothers"",""1"",""17215"",""sears.com"",""860725"
"1020211"",""Jewelry > Rings"",""1"",""16131"",""sears.com"",""806509"
"5000807"",""TVs & Electronics > Phones > Cell Phone Accessories"",""1"",""13099"",""sears.com"",""654912"
"5008623"",""Clothing > For the Family > Tops for the Family"",""1"",""12336"",""sears.com"",""616799"
"5000100"",""Appliances > Appliance Accessories"",""1"",""10910"",""sears.com"",""545490"
"1270757152"",""Home Improvement > Electrical Supplies"",""1"",""10189"",""sears.com"",""509445"
"1020081"",""Jewelry > Fashion Jewelry"",""1"",""10028"",""sears.com"",""501373"
"1348893928"",""Home > Home Decor > Wall Decor > Posters"",""1"",""9592"",""sears.com"",""479577"
"1327350752"",""Jewelry > Wedding & Engagement Jewelry > Bridal Jewelry"",""1"",""9586"",""sears.com"",""479285"
"1327352656"",""Jewelry > Anniversary Jewelry > Women's Anniversary Jewelry"",""1"",""9502"",""sears.com"",""475096"
"1038994"",""PartsDirect Parts > PD Parts > PartsDirect Parts"",""1"",""9044"",""sears.com"",""452191"
"1036502"",""PartsDirect Parts"",""1"",""9044"",""sears.com"",""452191"
"1270784222"",""Home Improvement > Electrical Supplies > Electrical Fixtures & Accessories"",""1"",""8731"",""sears.com"",""436519"
"1020079"",""Jewelry > Earrings"",""1"",""6892"",""sears.com"",""344563"
"1348893932"",""Home > Home Decor > Wall Decor > Wall Art"",""1"",""6663"",""sears.com"",""333125"
"1327352579"",""Jewelry > Wedding & Engagement Jewelry > Bridal Jewelry > Engagement Rings"",""1"",""5639"",""sears.com"",""281903"
"5007133"",""Clothing > Women's Clothing > Women's Tops"",""1"",""5637"",""sears.com"",""281811"
"1354284897"",""Automotive > Powersports Parts & Accessories"",""1"",""5491"",""sears.com"",""274525"
"5007008"",""Clothing > Men's Clothing > Men's Shirts"",""1"",""5407"",""sears.com"",""270345"
"1270630381"",""Home Improvement > Building Supplies"",""1"",""5362"",""sears.com"",""268089"
"1327352672"",""Jewelry > Anniversary Jewelry > Women's Anniversary Jewelry > Women's Anniversary Rings"",""1"",""5356"",""sears.com"",""267799"
"1231470962"",""TVs & Electronics > Televisions"",""1"",""5118"",""sears.com"",""255879"
"1030738"",""Food & Grocery > Paper Goods"",""1"",""4636"",""sears.com"",""231780"
"1348870195"",""Home > Crafts & Hobbies > Party Supplies"",""1"",""4478"",""sears.com"",""223877"
"1327352583"",""Jewelry > Wedding & Engagement Jewelry > Bridal Jewelry > Promise Rings"",""1"",""4203"",""sears.com"",""210105"
"1287369193"",""Home Improvement > Electrical Supplies > Electrical Fixtures & Accessories > Fixtures"",""1"",""4202"",""sears.com"",""210076"
"1327352573"",""Jewelry > Wedding & Engagement Jewelry > Bridal Jewelry > Bridal Sets"",""1"",""3738"",""sears.com"",""186856"
"1348893813"",""Home > Home Decor > Lighting > Lighting Accessories"",""1"",""3709"",""sears.com"",""185404"
"5008616"",""Clothing > For the Family > Dresswear for the Family"",""1"",""3671"",""sears.com"",""183527"
"1289602245"",""Automotive > Replacement Auto Parts > Driveline"",""1"",""3644"",""sears.com"",""182189"
"1348893992"",""Home > Home Decor > Lighting > Lighting Accessories > Decorative Lighting Accessories"",""1"",""3619"",""sears.com"",""180916"
"5000161"",""Automotive > Powersports Parts & Accessories > Motorcycle Parts"",""1"",""3602"",""sears.com"",""180088"
"1356047638"",""TVs & Electronics > Home Theater & Audio > Home Theater & Audio Accessories"",""1"",""3558"",""sears.com"",""1"
"1219254068"",""Tools > Electricians Tools > Batteries"",""1"",""3489"",""sears.com"",""174417"
"5000194"",""Automotive > Replacement Auto Parts > Driveline > Replacement Axles"",""1"",""3474"",""sears.com"",""173687"
"1327352576"",""Jewelry > Wedding & Engagement Jewelry > Bridal Jewelry > Bridal Wedding Bands"",""1"",""3448"",""sears.com"",""172399"
"1289602199"",""Automotive > Performance Auto Parts > Performance Ignition"",""1"",""3447"",""sears.com"",""172348"
"5000403"",""Lawn & Garden > Outdoor Power Equipment Accessories > Specialty Parts"",""1"",""3436"",""sears.com"",""171767"
"5000160"",""Automotive > Performance Auto Parts > Performance Ignition > Performance Spark Plugs"",""1"",""3362"",""sears.com"",""168080"
"1231485823"",""TVs & Electronics > Computers & Laptops > Computer Accessories > Specialty Computer Accessories"",""1"",""3296"",""sears.com"",""164797"
