"Category URL","Category Name","First Page","Last Page","Source Domain","Product Count"
"5xsxe","Movies, Music & Books","1","5935","target.com","356056"
"5xsxd","Movies, Music & Books > Books","1","5102","target.com","306105"
"5xsx1","Movies, Music & Books > Books > See More Genres","1","2256","target.com","135326"
"5xtvd","Home","1","1282","target.com","76881"
"5xsx6","Movies, Music & Books > Books > Kids' Books","1","1263","target.com","75777"
"5xsx8","Movies, Music & Books > Books > Fiction & Literature","1","1078","target.com","64670"
"5q0g9","Brand Shop","1","1036","target.com","62152"
"5cstu","Movies, Music & Books > Books > Fiction & Literature > Literary Fiction","1","1016","target.com","60912"
"55hp0","Featured Brands","1","732","target.com","43906"
"5xtub","Home > Home Decor","1","652","target.com","39103"
"4snrv","Movies, Music & Books > Books > Kids' Books > Elementary Kids' Books","1","584","target.com","35024"
"5xtnr","Furniture","1","546","target.com","32749"
"5xtb0","Toys","1","532","target.com","31868"
"56dik","Movies, Music & Books > Books > See More Genres > History","1","503","target.com","30144"
"5xt85","Sports & Outdoors","1","495","target.com","29663"
"5xt1a","Grocery","1","471","target.com","28260"
"5xsx7","Movies, Music & Books > Books > See More Genres > Health & Fitness","1","410","target.com","24547"
"13iww","Furniture > Furniture Deals","1","401","target.com","24002"
"5cstv","Movies, Music & Books > Books > See More Genres > Business & Law","1","353","target.com","21136"
"5v9xj","Ways To Shop","1","337","target.com","20195"
"4u97i","Home > Home Deals","1","327","target.com","19588"
"5xfmd","Movies, Music & Books > Books > Religion","1","327","target.com","19570"
"56dij","Movies, Music & Books > Books > See More Genres > Art, Photography & Design","1","319","target.com","19123"
"5xtq9","Patio & Garden","1","318","target.com","19043"
"5oux8","Brand Shop > Character Shop","1","315","target.com","18896"
"5xtg6","Electronics","1","308","target.com","18421"
"5xswr","Movies, Music & Books > Music","1","298","target.com","17841"
"5xsx3","Movies, Music & Books > Books > Teens' Books","1","285","target.com","17092"
"4snru","Movies, Music & Books > Books > Kids' Books > Pre-Teen Books","1","267","target.com","15988"
"4ydi5","Holiday Shop","1","264","target.com","15823"
"5xsxc","Movies, Music & Books > Books > Biography & Autobiography","1","262","target.com","15670"
"iinmv","Toys > Toys For Girls","1","261","target.com","15645"
"5xt77","Sports & Outdoors > Fan Shop","1","254","target.com","15202"
"5xswf","Musical Instruments","1","250","target.com","14963"
"4rsdf","Movies, Music & Books > Books > See More Genres > Audio Books","1","248","target.com","14865"
"qk2n3","Toys > Toys For Boys","1","248","target.com","14868"
"5xtmf","Furniture > Living Room Furniture","1","239","target.com","14284"
"5xttg","Home > Home Decor > Rugs","1","228","target.com","13640"
"5xtd3","Women","1","222","target.com","13311"
"558hq","Brand Shop > Safavieh","1","212","target.com","12672"
"hz89j","Kitchen & Dining","1","210","target.com","12571"
"55r1x","Beauty","1","204","target.com","12220"
"5xsxr","School & Office Supplies","1","200","target.com","11958"
"5xswg","Movies, Music & Books > Music > See More Genres","1","187","target.com","11174"
"5xt3c","Party Supplies","1","182","target.com","10899"
"56duf","Home > Home Decor > Rugs > Area Rugs","1","177","target.com","10571"
"xcoz4","Kids","1","172","target.com","10289"
"5xtly","Baby","1","170","target.com","10161"
"2ah3i","Toys > Kids' Toys","1","170","target.com","10167"
"5cstn","Movies, Music & Books > Books > See More Genres > Computers & Technology","1","163","target.com","9772"
"hp0vg","Movies, Music & Books > Movies > Blu-Ray Movies","1","158","target.com","9421"
"5xt30","Holiday Shop > Christmas","1","149","target.com","8933"
"5xt0r","Grocery > Beverages","1","147","target.com","8799"
"5csty","Movies, Music & Books > Books > See More Genres > Comic Books","1","142","target.com","8468"
"4yqsi","Home > Decor Style Ideas > Modern Decor","1","136","target.com","8157"
"5cstm","Movies, Music & Books > Books > See More Genres > Travel & Transportation","1","136","target.com","8151"
"fa5us","Musical Instruments > Band & Orchestra","1","135","target.com","8062"
"5xtmr","Furniture > Kitchen & Dining Furniture","1","134","target.com","8006"
"5xtcm","Women > Women'S Clothing","1","134","target.com","8006"
"5xswt","Movies, Music & Books > Tv Shows","1","133","target.com","7974"
"5xsxb","Movies, Music & Books > Books > Cooking, Food & Wine","1","132","target.com","7863"
"cnbea","Musical Instruments > Musical Instrument Accessories","1","131","target.com","7807"
"5xsx4","Movies, Music & Books > Books > Self-Improvement","1","131","target.com","7839"
"4ua8f","Patio & Garden > Patio Deals","1","126","target.com","7510"
"4slzs","Ways To Shop > Clothing Ways To Shop > Clothing & Accessories Deals","1","125","target.com","7486"
"5xtp2","Patio & Garden > Outdoor Décor","1","122","target.com","7316"
"5xttm","Home > Home Decor > Lamps & Lighting","1","121","target.com","7222"
"vh80q","Toys > Toddler Toys","1","119","target.com","7108"
"5xtmd","Furniture > Living Room Furniture > Accent Furniture","1","118","target.com","7025"
"6hzlt","Furniture > Small Space Furniture","1","115","target.com","6874"
"5xsz1","Household Essentials","1","114","target.com","6824"
"svqzj","Musical Instruments > Band & Orchestra > Band & Orchestra Accessories","1","112","target.com","6702"
"54uxv","Sports & Outdoors > Fan Shop > Ncaa Fan Shop","1","112","target.com","6718"
"5xtt9","Home > Home Improvement","1","110","target.com","6578"
"56gcy","Brand Shop > Character Shop > Disney","1","103","target.com","6147"
"54x8x","Home > Kids' Home","1","102","target.com","6069"
"5xt76","Sports & Outdoors > Fan Shop > Sports Apparel","1","101","target.com","6027"
"55b84","Target Subscriptions","1","100","target.com","5963"
"yz7nt","Movies, Music & Books > Music > Vinyl Records","1","100","target.com","5949"
"5ouwn","Furniture > Furniture Ways To Shop","1","99","target.com","5921"
"5ouva","Movies, Music & Books > Ways To Shop Entertainment","1","98","target.com","5826"
"4uxqf","Brand Shop > Women'S Brands","1","97","target.com","5762"
"4yqsk","Home > Decor Style Ideas > Traditional Decor","1","97","target.com","5808"
"5xtte","Home > Home Decor > Wall Decor","1","95","target.com","5681"
"5xsww","Movies, Music & Books > Movies > Drama","1","93","target.com","5557"
"54vro","Toys > Collectors' Toys","1","93","target.com","5579"
"5xtzq","Personal Care","1","92","target.com","5491"
"5xt9i","Toys > Games & Puzzles","1","92","target.com","5492"
"5xt13","Grocery > Pantry","1","89","target.com","5327"
"5xtmc","Furniture > Living Room Furniture > Accent Furniture > Accent Tables","1","89","target.com","5290"
"5xtor","Patio & Garden > Patio Furniture","1","89","target.com","5304"
