,"supplierUrl","amaonUrl","size","similarity_result","distance","outsource","colorSimilarity"
236,"https://cdnimages.opentip.com/thumbs/7LCB/7LCB-DALCB07_160_160.jpg","http://ecx.images-amazon.com/images/I/31CUPOPZtOL._SL75_.jpg","208  1072",0,0.0473,-1,0
710,"https://target.scene7.com/is/image/Target/52901699?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/41821SZLQwL._SL75_.jpg","16  13008",0,0.1334,-1,0
255,"https://images.bonanzastatic.com/afu/images/c878/c5cf/eb43_5742492143/s-l1600_thumb200.jpg","http://ecx.images-amazon.com/images/I/31LwGzHgnNL._SL75_.jpg","16  16",0,0.0284,-1,0.465117069802877
415,"https://img.chewy.com/is/catalog/106156_MAIN._AC_SS190_V1476290256_.jpg","http://ecx.images-amazon.com/images/I/41FOhwgjsVL._SL75_.jpg","16  16",0,0.0343,-1,1.22371762852472
644,"https://sb.monetate.net/img/1/162/1111593.png","http://ecx.images-amazon.com/images/I/51Lk642Sk9L._SL75_.jpg","368  336",0.25,0.1362,-1,0
186,"https://imagesprod5.dickssportinggoods.com/is/image/dkscdn/17NIKMLTLTWGHTNS2APA_University_Red_is/?$DSG_ProductCard$","http://ecx.images-amazon.com/images/I/41gNybJkXzL._SL75_.jpg","7664  496",0.283898305084746,0.042,-1,2.18592560941033E-07
934,"https://target.scene7.com/is/image/Target/14358809?wid=325&hei=325&qlt=80&fmt=pjpeg","http://ecx.images-amazon.com/images/I/317CYGbM8gL._SL75_.jpg","8048  688",0.318548387096774,0.03,-1,0
988,"https://s7d4.scene7.com/is/image/BonTon/1064580_violetveilsandyshimmermintymist?$medium_245$","http://ecx.images-amazon.com/images/I/41mHBHsBAwL._SL75_.jpg","12976  3696",0.32089552238806,0.0697,-1,0.065435718079243
738,"https://target.scene7.com/is/image/Target/53071771?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/418ubTOz-DL._SL75_.jpg","15184  12816",0.329087048832272,0.0458,-1,0
945,"https://target.scene7.com/is/image/Target/50522502?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/61eJOqIlc3L._SL75_.jpg","14576  15728",0.331858407079646,0.1126,-1,1.55573853478949
243,"https://cdnimages.opentip.com/thumbs/VIN/VIN-PP29545_160_160.jpg","http://ecx.images-amazon.com/images/I/41scHdsBLmL._SL75_.jpg","304  11056",0.333333333333333,0.0399,-1,0.084023246414032
148,"http://g.christianbook.com/dg/product/cbd/w163/DL144562-CP.jpg","http://ecx.images-amazon.com/images/I/413AjWE1naL._SL75_.jpg","9712  7376",0.346666666666667,0.1954,-1,0.352384636329717
237,"https://cdnimages.opentip.com/thumbs/CSD/CSD-8886055672_160_160.jpg","http://ecx.images-amazon.com/images/I/41OdtdSWljL._SL75_.jpg","10128  5072",0.348242811501597,0.0331,-1,0
165,"https://imagesprod.dickssportinggoods.com/is/image/dkscdn/17CLMYNCVTCHMRNY4APO_is/?$DSG_ProductCard$","http://ecx.images-amazon.com/images/I/41DHVQuP7bL._SL75_.jpg","7248  3440",0.349775784753363,0.0522,-1,0.187369210471966
575,"https://img.chewy.com/is/image/catalog/129213_MAIN._AC_SS190_V1497482961_.jpg","http://ecx.images-amazon.com/images/I/41tzDMTuN8L._SL75_.jpg","3312  5520",0.35,0.0107,-1,1.40323619746141E-06
884,"https://target.scene7.com/is/image/Target/53401228?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/51299bijY1L._SL75_.jpg","14864  13360",0.351409978308026,0.1402,-1,0.028475179385816
258,"https://cdnimages.opentip.com/thumbs/ACB/ACB-1765026A_160_160.jpg","http://ecx.images-amazon.com/images/I/41GX%2BYOkw1L._SL75_.jpg","4208  1264",0.3515625,0.0382,-1,0
953,"https://target.scene7.com/is/image/Target/52446001?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/318DrhFDKvL._SL75_.jpg","14224  12016",0.353741496598639,0.0867,-1,0.00781161118842
265,"https://images.bonanzastatic.com/afu/images/259f/330a/c3ce_5926447127/s-l1600_thumb200.jpg","http://ecx.images-amazon.com/images/I/41EMWluhKyL._SL75_.jpg","7696  2608",0.354430379746835,0.1207,-1,0
154,"https://www.511tactical.com/media/catalog/product/cache/small_image/240x240/beff4985b56e3afdbeabfc89641a4582/5/6/56156_092_01.jpg","http://ecx.images-amazon.com/images/I/41187q4LmuL._SL75_.jpg","10032  14352",0.354838709677419,0.1991,-1,1
847,"https://target.scene7.com/is/image/Target/52329210?wid=325&hei=325&qlt=80&fmt=pjpeg","http://ecx.images-amazon.com/images/I/41WlpqDamAL._SL75_.jpg","14576  15888",0.356194690265487,0.0408,-1,0.999999940395355
537,"https://images.bonanzastatic.com/afu/images/abe5/18a3/8602_5612286727/__12_thumb200.jpg","http://ecx.images-amazon.com/images/I/41wz4hnIzRL._SL75_.jpg","11568  4816",0.357541899441341,0.103,-1,0.064640937006374
830,"https://target.scene7.com/is/image/Target/52494013?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/41tqPAkBOpL._SL75_.jpg","3056  16080",0.358695652173913,0.2117,-1,0.193896953316129
745,"https://target.scene7.com/is/image/Target/53264963?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/61nDN87YapL._SL75_.jpg","15472  16112",0.3625,0.1019,-1,0.090453188091252
83,"http://g.christianbook.com/dg/product/cbd/w163/31597x.jpg","http://ecx.images-amazon.com/images/I/51sIxq-BxaL._SL75_.jpg","11056  12656",0.362573099415205,0.0402,-1,1.10581950426423
161,"https://imagesprod1.dickssportinggoods.com/is/image/dkscdn/17ANGMNFLBRSPRDGYAPO_is/?$DSG_ProductCard$","http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-sm._CB192198896_.gif","5936  9552",0.362637362637363,0.1033,-1,1
247,"https://images.bonanzastatic.com/afu/images/90ea/6c89/6fd4_5840359585/s-l1600_thumb200.jpg","http://ecx.images-amazon.com/images/I/51qxRkLstwL._SL75_.jpg","11920  12880",0.363143631436314,0.0452,-1,0.057616142001532
111,"http://g.christianbook.com/dg/product/cbd/w185/620920.jpg","http://ecx.images-amazon.com/images/I/41yf2p9PRnL._SL75_.jpg","10704  10768",0.365558912386707,0.0091,-2,1.82237765216269
828,"https://target.scene7.com/is/image/Target/53127905?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/51EjHFBBicL._SL75_.jpg","14480  12464",0.367483296213808,0.0947,-1,0.106515120026985
817,"https://target.scene7.com/is/image/Target/53032501?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/511j7msZtfL._SL75_.jpg","15696  15536",0.367556468172485,0.1499,-1,0.569955166699567
300,"https://img.chewy.com/is/image/catalog/107010_MAIN._AC_SS190_V1495659943_.jpg","http://ecx.images-amazon.com/images/I/51t8BDB9F3L._SL75_.jpg","11888  12464",0.369565217391304,0.0908,-1,0.015163659560358
116,"http://g.christianbook.com/dg/product/cbd/w163/118401.jpg","http://ecx.images-amazon.com/images/I/41UCRPi0doL._SL75_.jpg","8912  304",0.370909090909091,0.1414,-1,0
893,"https://target.scene7.com/is/image/Target/52487998?wid=325&hei=325&qlt=80&fmt=pjpeg","http://ecx.images-amazon.com/images/I/413cfv1umHL._SL75_.jpg","15632  15632",0.37319587628866,0.1306,-1,0
751,"https://target.scene7.com/is/image/Target/52764886?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/41DjQpJhSLL._SL75_.jpg","16048  10064",0.373493975903614,0.2026,-1,0
978,"http://www.bbtoystore.com/mm5/pokemon/PK_B2_63-w_239x333.jpg","http://ecx.images-amazon.com/images/I/511nD89UDpL._SL75_.jpg","15184  13008",0.373673036093418,0.108,-1,18.8491021360554
34,"https://images10.newegg.com/ProductImageCompressAll300/A6J3_130685426514525199dNEYGUkXBk.jpg","http://ecx.images-amazon.com/images/I/41qaqB9UekL._SL75_.jpg","3536  3408",0.373831775700935,0.0499,-1,7.13446159039677E-07
59,"http://g.christianbook.com/dg/product/cbd/w163/284479.jpg","http://ecx.images-amazon.com/images/I/41gE1vKMq7L._SL75_.jpg","11664  11120",0.373961218836565,0.2641,-1,0
770,"https://target.scene7.com/is/image/Target/53275377?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/31cfQ03QfqL._SL75_.jpg","15344  6352",0.376050420168067,0.0788,-1,0
215,"https://images.bonanzastatic.com/afu/images/87e6/d203/1ba7_6117098277/s-l1600_thumb200.jpg","http://ecx.images-amazon.com/images/I/3147P3y-LlL._SL75_.jpg","10064  4752",0.37620578778135,0.0373,-1,0
249,"https://images.bonanzastatic.com/afu/images/660e/26a2/e4f0_4964591405/31937r_090159319375__50617.1461019174.800.600__36702_thumb200.jpg","http://ecx.images-amazon.com/images/I/51Tgc4ABOBL._SL75_.jpg","12688  12592",0.376590330788804,0.1204,-1,1
907,"https://target.scene7.com/is/image/Target/52648901?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/41oBodhNqaL._SL75_.jpg","14704  2480",0.37719298245614,0.1408,-1,0
56,"http://g.christianbook.com/dg/product/cbd/w163/135908.jpg","http://ecx.images-amazon.com/images/I/51GYxVDATyL._SL75_.jpg","8848  11216",0.377289377289377,0.1157,-1,0.070277663587749
996,"https://s7d4.scene7.com/is/image/BonTon/1042133_lightgrey?$medium_245$","http://ecx.images-amazon.com/images/I/41lygyaqtAL._SL75_.jpg","9776  4976",0.377483443708609,0.0762,-1,0.508929714924411
248,"https://images.bonanzastatic.com/afu/images/9cba/f204/6b1a_5722288645/img_5722288645_1522352370_thumb200.jpg","http://ecx.images-amazon.com/images/I/41hIHtLHgfL._SL75_.jpg","10192  8848",0.377777777777778,0.0108,-1,0
880,"https://target.scene7.com/is/image/Target/11578867?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/41AvlPInRmL._SL75_.jpg","12304  15696",0.377952755905512,0.1503,-1,0
966,"https://www.brandsmartusa.com/images/product/small/20236759.jpg","http://ecx.images-amazon.com/images/I/41BYDeZorHL._SL75_.jpg","6448  4272",0.378787878787879,0.0852,-1,0
183,"https://imagesprod4.dickssportinggoods.com/is/image/dkscdn/17NIKYNCTXSRGYFTBAPT_is/?$DSG_ProductCard$","http://ecx.images-amazon.com/images/I/41Nm98TywIL._SL75_.jpg","5008  3152",0.379084967320261,0.0458,-1,0.479471750941718
410,"https://img.chewy.com/is/catalog/97759._AC_SS190_V1464189772_.jpg","http://ecx.images-amazon.com/images/I/31VPJoqQC%2BL._SL75_.jpg","12400  12208",0.380208333333333,0.037,-1,0.003616233392734
33,"https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A00Y_1_201708201340869539.jpg","http://ecx.images-amazon.com/images/I/41xRcNxqEGL._SL75_.jpg","5072  10640",0.380645161290323,0.0377,-1,0
198,"https://images10.newegg.com/ProductImageCompressAll300/A1D9_1_20131116319318487.jpg","http://ecx.images-amazon.com/images/I/41VT5NdvTYL._SL75_.jpg","12368  7280",0.381201044386423,0.0326,-1,4.11707024028374E-07
800,"https://target.scene7.com/is/image/Target/52244315?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/41S4hlgkaoL._SL75_.jpg","16112  12368",0.382,0.0549,-1,0
783,"https://target.scene7.com/is/image/Target/51941302?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/51bBWaww%2BfL._SL75_.jpg","16112  16112",0.382,0.0351,-1,0.089077028977321
199,"https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A41B_130512170321430204vfYp3pLO7Y.jpg","http://ecx.images-amazon.com/images/I/41dgwKP7tNL._SL75_.jpg","11920  9776",0.382113821138211,0.0483,-1,0
894,"https://target.scene7.com/is/image/Target/53019619?wid=325&hei=325&qlt=80&fmt=pjpeg","http://ecx.images-amazon.com/images/I/512KICC-xhL._SL75_.jpg","15920  16112",0.382591093117409,0.0952,-1,0
568,"https://img.chewy.com/is/image/catalog/103210_MAIN._AC_SS190_V1526674998_.jpg","http://ecx.images-amazon.com/images/I/41QBRMLXX3L._SL75_.jpg","10480  5904",0.382716049382716,0.0541,-1,0
70,"http://g.christianbook.com/dg/product/cbd/w163/8770172.jpg","http://ecx.images-amazon.com/images/I/513RI9cBu9L._SL75_.jpg","7696  10960",0.383966244725738,0.1047,-1,0
994,"https://s7d4.scene7.com/is/image/BonTon/799160?$medium_245$","http://ecx.images-amazon.com/images/I/41j4XkkZU5L._SL75_.jpg","14768  11824",0.384279475982533,0.1268,-1,0
153,"https://www.511tactical.com/media/catalog/product/cache/small_image/240x240/beff4985b56e3afdbeabfc89641a4582/t/a/tactical_small_56963_328_01.jpg","http://ecx.images-amazon.com/images/I/21bIT2sxQ%2BL._SL75_.jpg","8432  5072",0.384615384615385,0.2562,-1,0
712,"https://target.scene7.com/is/image/Target/13046997?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/419-RgbghhL._SL75_.jpg","11920  13296",0.384823848238482,0.1303,-1,0
862,"https://target.scene7.com/is/image/Target/53280273?wid=325&hei=325&qlt=80&fmt=pjpeg","http://ecx.images-amazon.com/images/I/31nQ-TAjneL._SL75_.jpg","14064  10096",0.385321100917431,0.123,-1,10.0580824748681
187,"https://imagesprod2.dickssportinggoods.com/is/image/dkscdn/16NIKWNFLVKNGSTRBAPTB_is/?$DSG_ProductCard$","http://ecx.images-amazon.com/images/I/51e3s1V9c7L._SL75_.jpg","9488  9328",0.385665529010239,0.0369,-1,0.886313747227405
197,"https://images10.newegg.com/ProductImageCompressAll300/A1ZC_1_20131212367913711.jpg","http://ecx.images-amazon.com/images/I/41EleqDq-CL._SL75_.jpg","12464  14736",0.3860103626943,0.0326,-1,0
88,"http://g.christianbook.com/dg/product/cbd/w163/585395.jpg","http://ecx.images-amazon.com/images/I/41a8cDZqQDL._SL75_.jpg","8528  10480",0.387832699619772,0.1311,-1,0
229,"https://images.bonanzastatic.com/afu/images/0a17/cfea/19ec_6133987096/__12_thumb200.jpg","http://ecx.images-amazon.com/images/I/41Aa7BD7KZL._SL75_.jpg","3824  2256",0.387931034482759,0.125,-1,1.78203112268181
928,"https://target.scene7.com/is/image/Target/15460527?wid=325&hei=325&qlt=80&fmt=pjpeg","http://ecx.images-amazon.com/images/I/51aSlDzXYaL._SL75_.jpg","16112  15632",0.388,0.0437,-1,0
103,"http://g.christianbook.com/dg/product/cbd/w163/2498602.jpg","http://ecx.images-amazon.com/images/I/41Hg2hMYmHL._SL75_.jpg","9264  11920",0.388111888111888,0.1405,-1,0
